district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Dimapur,787.97,235,799,1601.62,461.55,195.39,193,11.44,1707.79,860,155.50,640,3447
Kiphire,36.60,22,57,65.99,82.19,14.86,11,20.93,71.01,62,15.91,350,993
Kohima,123.10,64,135,191.99,292.01,51.67,57,20.90,247.22,185,84.70,611,2916
Longleng,8.20,4,69,82.15,53.78,18.32,21,17.59,104.15,104,38.36,141,244
Mokokchung,286.09,125,441,505.03,262.51,72.53,119,13.93,520.58,470,84.22,488,2083
Mon,73.75,52,175,166.59,163.53,34.88,44,20.83,167.48,176,18.47,574,1870
Peren,19.60,14,32,32.42,58.58,7.71,6,17.76,43.42,40,7.37,138,589
Phek,39.94,29,171,174.16,272.52,53.20,54,30.20,176.16,173,81.38,686,1989
Tuensang,37.80,18,89,100.92,175.20,25.88,21,22.13,116.95,113,61.41,694,1814
Wokha,164.74,90,134,188.21,114.91,11.10,12,4.53,245.13,187,23.13,296,968
Zunheboto,28.70,16,95,99.24,168.09,23.81,21,23.99,99.24,95,104.49,544,1121
