district,notices_issued_u_s_13_2_of_sarfaesi_act_ac,amt_in_lacs,out_of_which_symbolic_possession_taken_u_s_13_4_ac,amt_in_lacs,request_sent_to_dc_dm_cmm_for_assistance_in_physical_possession_ac,out_of_that_physical_possession_taken_ac,no_of_cases_pending_ac
Bokaro,955,5537.78,43,1709.00,32,0,42
Chatra,14,180.30,12,169.90,8,0,0
Deoghar,17,1233.06,11,796.42,9,0,9
Dhanbad,208,6985.99,164,4798.04,76,9,76
Dumka,3,62.66,3,62.66,3,0,3
East Singhbhum,269,17331.20,182,10574.24,151,8,158
Garhwa,15,528.11,11,496.83,6,0,6
Giridih,788,3024.52,31,325.92,15,2,13
Godda,3,32.33,2,25.74,2,0,3
Gumla,10,101.27,3,9.07,1,0,7
Hazaribagh,130,2288.78,91,1618.04,71,2,41
Jamtara,0,0.00,0,0.00,0,0,0
Khunti,0,0.00,0,0.00,0,0,0
Koderma,36,446.58,28,380.80,22,1,7
Latehar,7,74.74,2,4.77,1,0,1
Lohardaga,29,678.15,18,507.05,3,0,10
Pakur,6,84.34,5,84.32,4,0,4
Palamu,33,120.02,7,62.58,6,0,4
Ramgarh,35,851.44,28,654.86,18,1,17
Ranchi,385,39453.58,275,35025.40,140,19,122
Sahibganj,6,62.53,5,61.68,0,0,0
Seraikela-Kharsawan,41,1272.63,24,884.77,29,3,26
Simdega,8,41.26,2,25.00,0,0,0
West Singhbhum,17,292.17,9,112.32,5,1,4
