district,shishu_accounts,amount,kishor_accounts,amount,tarun_accounts,amount,total_accounts,amount
Bokaro,44136,14820.73,23310,23677.47,1365,10171.62,68811,48669.82
Chatra,15669,5559.88,7474,7530.82,525,3717.83,23668,16808.53
Deoghar,17141,6553.54,15246,18053.21,1157,8480.19,33544,33086.94
Dhanbad,84827,29476.49,38134,37501.57,1935,14387.84,124896,81365.90
Dumka,25126,8670.74,11990,12046.71,568,3950.64,37684,24668.09
East Singhbhum,69308,23560.94,40067,40069.44,2470,19235.53,111845,82865.91
Garhwa,45378,15567.84,21971,18999.79,662,4712.87,68011,39280.50
Giridih,118751,39626.35,50096,42742.08,1389,10121.63,170236,92490.06
Godda,36215,12391.17,16586,15094.47,661,4549.21,53462,32034.85
Gumla,25881,8094.19,5043,4792.20,337,2446.01,31261,15332.39
Hazaribagh,46096,15953.92,28614,28578.49,1732,12243.98,76442,56776.39
Jamtara,8358,2631.51,5146,5734.28,252,1831.33,13756,10197.12
Khunti,6302,2020.96,4505,4449.58,210,1482.64,11017,7953.19
Koderma,26860,9582.84,20014,17875.87,567,4046.17,47441,31504.88
Latehar,21118,7056.42,9278,8473.58,439,3194.22,30835,18724.22
Lohardaga,6662,2174.27,2039,2648.89,304,2214.14,9005,7037.29
Pakur,46391,15255.54,27079,21964.80,323,2272.22,73793,39492.56
Palamu,66286,22724.27,33987,30107.17,1113,7968.69,101386,60800.14
Ramgarh,31398,10583.11,17799,17324.82,763,5781.70,49960,33689.63
Ranchi,77015,26506.57,52725,54812.23,3875,28979.10,133615,110297.90
Sahibganj,43695,14509.26,21706,19652.02,796,5792.61,66197,39953.89
Seraikela-Kharsawan,13004,4443.01,6415,8143.20,509,3966.46,19928,16552.67
Simdega,1878,625.64,907,1351.86,163,1167.50,2948,3145.00
West Singhbhum,20502,6796.32,11764,11940.70,617,4593.12,32883,23330.14
