district,outstanding_31032024_scheduled_caste_no,amt,scheduled_tribes_no,amt,disbursed_form_01042023_to_31032024_scheduled_caste_no,amt,scheduled_tribes_no,amt,col_10
Bokaro,18353,28711.02,12030,19191.87,6468,11199.97,3337,6940.87,
Chatra,12326,11062.36,6643,6976.15,4029,4441.70,2008,2785.86,
Deoghar,18530,17192.53,15541,13641.74,6046,7391.91,5486,5629.78,
Dhanbad,30501,64916.22,14420,20082.64,7593,29205.64,3864,8748.01,
Dumka,15041,14054.45,24659,29595.90,5422,6602.92,8077,12995.90,
East Singhbhum,21506,25230.21,48980,58115.69,6561,10871.79,13482,22282.59,
Garhwa,24064,19693.62,17053,16907.73,8953,8663.54,4625,5751.95,
Giridih,22525,18222.02,13495,11914.01,9785,9955.16,3898,5341.46,
Godda,12568,12773.91,19390,24140.44,4113,5300.41,6390,9505.22,
Gumla,6708,6083.11,30134,28992.55,1317,2134.52,5816,9931.83,
Hazaribagh,26534,25590.61,11429,16400.82,7696,11321.03,4424,8388.14,
Jamtara,8068,7660.82,14182,12950.71,1863,2704.51,3880,4734.89,
Khunti,5820,5472.15,22002,22452.25,1992,2268.07,5252,7300.70,
Koderma,9170,7794.05,2632,3027.72,2436,3234.85,776,1087.34,
Latehar,8624,10556.64,11880,15195.03,2984,4612.37,3572,5470.67,
Lohardaga,3676,3964.90,16989,17613.07,1199,1370.18,4155,6310.90,
Pakur,5676,6019.22,15453,15160.63,2347,2806.19,6080,6039.09,
Palamu,40314,35389.77,25269,27751.10,15230,15424.73,6899,9361.71,
Ramgarh,10834,17066.64,12870,22432.88,3838,7670.15,3680,8908.27,
Ranchi,267634,113784.39,218520,178478.59,137668,90044.03,97603,87744.51,
Sahibganj,7291,8447.84,20997,20386.65,2999,4534.63,8760,9744.10,
Seraikela-Kharsawan,27569,14012.36,49494,33315.56,13449,9562.09,21267,17403.71,
Simdega,4344,3475.21,14641,13013.68,1242,1233.63,3565,3985.37,
West Singhbhum,11898,13267.92,50681,56188.00,3825,5397.11,14086,19723.24,
