district,tfo_amt_disbursed_in_lacs_amount_in_lacs,term_loan_sanctioned_during_the_quarter_mar_2024_amount_in_lacs,cumulative_amount_in_lacs
Bokaro,1.00,2.20,3.20
Chatra,21.68,14.81,37.72
Deoghar,272.00,42.95,314.95
Dhanbad,89.35,0.00,89.35
East Singhbhum,268.55,28.49,297.04
Giridih,1.44,1.44,15.79
Godda,22.45,23.25,101.70
Hazaribagh,1.40,40.90,42.30
Jamtara,0.00,11.25,11.25
Koderma,3.50,0.00,3.50
Lohardaga,116.27,5.80,122.07
Pakur,0.00,4.00,17.15
Palamu,24.00,24.00,87.64
Ramgarh,2.00,3.80,3.80
Seraikela-Kharsawan,0.80,0.00,0.80
Simdega,2.00,0.00,0.00
West Singhbhum,0.50,0.50,0.50
