district,outstanding_as_of_last_fy_2022_23_number,amount,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number,col_10
Bokaro,55415,32791,18771,14864,54086,33199,26309,14530,
Chatra,56790,29591,19639,12566,56278,30974,24307,16247,
Deoghar,87977,44595,41546,26430,89161,48872,45550,34419,
Dhanbad,47853,28060,13650,15237,45200,28321,16512,8356,
Dumka,68729,29245,29592,15210,69922,32721,39214,27056,
East Singhbhum,79817,44787,31854,26021,79050,47578,42727,26312,
Garhwa,59820,48489,26885,23895,59669,52067,36656,32000,
Giridih,85258,43210,23952,16672,84984,46203,35570,18113,
Godda,60114,35380,25725,18923,62296,38974,33177,22136,
Gumla,54959,25233,14691,10608,53596,26763,20739,13073,
Hazaribagh,79067,49597,26291,20347,78333,51634,30537,16756,
Jamtara,49417,25769,22475,15027,50636,28709,29784,21082,
Khunti,27146,12719,9047,5616,28021,14811,12899,5753,
Koderma,32094,17539,8748,5309,30751,17503,11377,6131,
Latehar,31149,20635,13781,10447,32132,23663,19346,14059,
Lohardaga,34120,18730,8946,7487,33756,19590,14517,8734,
Pakur,29946,19658,11392,8139,31803,21504,13242,8766,
Palamu,86579,65855,39463,35594,84906,68453,50110,44564,
Ramgarh,28563,16770,9400,5788,27266,17686,9443,6423,
Ranchi,96820,63212,30059,25576,96517,65575,39931,23274,
Sahibganj,43423,29456,19524,15812,42581,30507,17050,11992,
Seraikela-Kharsawan,57248,30576,19312,11858,57669,33360,32047,20033,
Simdega,22700,9700,6882,3995,22654,10116,10117,5393,
West Singhbhum,71141,41812,24983,13670,71346,45450,40296,26419,
