district,as_on_31st_march_2024_farm_credit_no,amt,out_of_farm_credit_total_crop_loans_no,amt,out_of_farm_credit_total_investment_credit_no,amt,out_of_farm_credit_total_allied_activities_no,amt,agri_infrastructure_no,amt,ancillary_activities_no,amt,total_agri_no,amt,pct_of_agri_adv_to_total_advance,col_17
Bokaro,83544,57931.41,54086,33198.70,29458,24732.71,19689,13737.83,48,152.34,7792,18176.65,91384,76260.40,8.70,
Chatra,71681,42413.69,56278,30974.06,15403,11439.64,9373,8129.12,118,59.48,5380,11247.44,77179,53720.62,38.29,
Deoghar,115414,68354.88,89161,48872.01,26253,19482.87,16391,13085.18,24,458.20,1909,11999.68,117347,80812.76,20.61,
Dhanbad,99451,66138.63,45200,28320.53,54251,37818.11,31188,19431.01,116,1188.27,6528,18495.17,106095,85822.08,5.91,
Dumka,94978,53077.47,69922,32721.07,25056,20356.40,17222,15340.07,77,62.07,1308,3870.07,96363,57009.61,26.61,
East Singhbhum,115589,83349.73,79050,47578.41,36539,35771.32,22856,21167.07,50,195.68,9972,35694.67,125611,119240.08,5.50,
Garhwa,103325,78785.41,59669,52067.24,43656,26718.16,24800,19843.28,138,51.99,878,1519.70,104341,80357.09,48.07,
Giridih,143588,84899.70,84984,46202.69,58604,38697.02,41345,26013.44,107,516.43,7760,21301.18,151455,106717.32,23.31,
Godda,91554,58842.89,62296,38974.02,29258,19868.87,21452,14366.36,7,5.19,1837,4525.01,93398,63373.09,32.20,
Gumla,61727,36191.17,53596,26762.76,8131,9428.41,3992,6186.47,3,3.45,4025,8855.53,65755,45050.15,35.14,
Hazaribagh,132775,88167.31,78333,51633.92,54442,36533.40,34795,23921.83,23,135.55,7023,29612.15,139821,117915.01,19.59,
Jamtara,55284,33438.03,50636,28708.90,4648,4729.13,3238,3486.93,11,3.17,1778,3106.97,57073,36548.17,37.79,
Khunti,39195,22787.02,28021,14811.33,11174,7975.68,8571,5732.70,5,48.43,1975,4587.07,41175,27422.52,27.27,
Koderma,55369,31647.65,30751,17503.07,24618,14144.58,9693,6178.71,26,139.25,4708,12002.36,60103,43789.26,22.77,
Latehar,39581,34009.43,32132,23662.70,7449,10346.73,5334,8109.03,180,55.40,1316,2732.22,41077,36797.06,32.65,
Lohardaga,39065,24761.49,33756,19590.27,5309,5171.22,2272,2980.64,18,22.77,3069,8044.09,42152,32828.35,32.76,
Pakur,47520,35176.43,31803,21504.27,15717,13672.15,15009,13222.98,147,129.56,2493,4476.63,50160,39782.61,29.21,
Palamu,150469,112486.73,84906,68453.24,65563,44033.49,43515,33155.82,580,238.63,2660,4872.70,153709,117598.05,34.33,
Ramgarh,50633,31658.28,27266,17685.61,23367,13972.66,16440,8062.09,22,36.68,4304,9995.72,54959,41690.68,10.69,
Ranchi,1124401,372286.58,96160,65424.78,1028241,306861.79,191384,79218.11,223,7704.61,8948,115237.28,1133572,495228.46,12.23,
Sahibganj,63454,47017.41,42581,30506.72,20873,16510.69,17042,13724.97,24,51.14,1738,2472.56,65216,49541.11,33.31,
Seraikela-Kharsawan,159404,70059.29,57669,33359.87,101735,36699.42,26073,12763.15,16,572.44,4045,12182.63,163465,82814.36,18.91,
Simdega,29275,16886.61,22654,10116.11,6621,6770.50,3600,4720.68,25,23.33,2693,4951.44,31993,21861.38,34.86,
West Singhbhum,85285,64417.67,71346,45450.36,13939,18967.30,6030,11673.71,27,263.26,3409,7157.66,88721,71838.59,17.36,
