district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,47,43.54,163,116.19,105,80
Chatra,21,9.33,163,66.30,77,56
Deoghar,133,33.36,302,114.12,57,52
Dhanbad,14,25.22,239,214.00,157,125
Dumka,38,12.48,70,25.19,33,31
East Singhbhum,19,10.56,124,74.74,95,58
Garhwa,30,12.70,114,58.41,74,49
Giridih,55,29.25,170,97.42,115,89
Godda,117,146.27,242,188.23,69,63
Gumla,15,10.79,155,65.25,111,75
Hazaribagh,250,263.22,696,593.15,370,212
Jamtara,16,4.23,73,26.46,32,24
Khunti,47,12.29,264,84.03,150,101
Koderma,16,6.28,116,36.87,87,81
Latehar,165,51.47,331,118.46,77,61
Lohardaga,59,24.92,516,181.67,423,340
Pakur,112,22.53,172,105.32,27,18
Palamu,70,31.95,206,149.42,55,42
Ramgarh,42,41.34,265,112.37,149,112
Ranchi,528,140.57,971,479.90,281,219
Sahibganj,208,110.60,390,175.79,233,229
Seraikela-Kharsawan,64,35.52,82,73.72,66,65
Simdega,4,14.49,536,73.25,492,407
West Singhbhum,19,10.02,71,52.10,14,14
