district,no_of_cases_no_of_a_cs,amount_in_lacs,no_of_cases_filed_no_of_a_cs,amount_in_lacs,no_of_cases_no_of_a_cs,amount_in_lacs,no_of_cases_no_of_a_cs,amount_in_lacs
Bokaro,184,5886.48,1,46.80,14,434.80,174,6050.46
Chatra,51,1308.62,3,76.15,41,1015.10,13,369.67
Deoghar,18,3364.21,3,122.38,1,78.00,23,3530.77
Dhanbad,234,9364.84,6,315.10,5,150.13,304,11518.60
Dumka,2,98.02,,,,,4,158.24
East Singhbhum,760,35422.62,16,784.19,16,4185.87,844,39011.94
Garhwa,2,61.79,,,,,3,96.21
Giridih,18,584.81,1,27.38,1,67.43,21,651.98
Godda,11,219.74,,,,,11,219.74
Gumla,9,1118.36,2,132.20,,,11,1250.56
Hazaribagh,129,4583.74,9,218.42,67,1929.53,73,2904.79
Jamtara,0,,,,,,,
Khunti,8,412.65,3,123.43,,,11,536.08
Koderma,56,1356.37,3,86.95,31,747.80,28,695.52
Latehar,0,,,,,,,
Lohardaga,33,1114.05,,( 0.00),,,33,363.97
Pakur,4,132.29,1,21.48,,,5,153.77
Palamu,11,148.76,1,30.82,,,13,227.52
Ramgarh,150,5667.95,9,187.16,106,4073.45,56,1874.07
Ranchi,1695,116026.47,80,2817.31,50,1486.12,1797,119361.16
Sahibganj,3,60.41,,,,,3,60.41
Simdega,3,62.75,,,,,3,62.75
West Singhbhum,83,1178.77,5,212.34,,,89,1436.06
