district,as_on_31st_march_2024_loans_to_small_and_marginal_farmers_no,amt,loans_to_sc_st_no,amt,loans_to_shgs_no,amt,loans_to_minority_communities_no,amt,od_under_pmjdy_no,amt,beneficiaries_of_dri_scheme_no,amt,loans_upto_₹_1_lakh_to_women_beneficiaries_no,amt,other_loans_to_weaker_sections_no,amt,total_advances_to_weaker_sections_no,amt,pct_of_loans_to_weaker_sections_to_total_advance_amt,col_21
Bokaro,75158,49964.45,16417,12894.61,10323,18874.21,11406,14940.13,2388,3.80,402,35.63,51122,20570.66,5466,5679.99,126872,90535.84,10.33,
Chatra,67689,44447.38,16233,11180.21,8017,13827.65,165886,5547.95,397,5.00,14,7.51,23896,10650.80,732,1111.20,80464,54987.56,39.19,
Deoghar,106486,60779.90,24945,18137.52,8273,13127.96,263112,11388.44,740,6.23,46,10.88,29410,14199.97,2812,2210.89,136309,79177.68,20.19,
Dhanbad,84036,50846.45,21153,15224.53,7866,14321.95,1161561,29344.88,4250,10.14,445,34.31,67309,32402.13,9245,10805.09,174777,119231.89,8.21,
Dumka,89409,47398.51,28748,22420.29,9145,15610.14,459915,8848.69,853,0.87,33,3.26,43430,18528.56,1856,2526.52,111494,62708.02,29.27,
East Singhbhum,105963,70518.81,49836,32676.19,10570,21133.85,3793469,36846.17,1837,10.62,770,65.00,81811,41356.43,7153,12590.49,194245,162562.08,7.50,
Garhwa,96989,72928.98,36682,28954.60,10431,17879.50,13107,9429.36,203,0.15,57,4.31,46411,21867.09,639,843.24,114087,83936.12,50.21,
Giridih,134135,80035.38,28441,17263.98,14597,26825.35,24750,18308.34,816,2.16,121,22.85,77271,33147.60,2453,2505.59,181354,114505.58,25.01,
Godda,82583,53056.38,24479,19366.29,7300,14432.08,12358,9628.31,796,1.29,54,5.01,36403,16720.05,1767,3010.26,103089,68451.96,34.78,
Gumla,59069,34758.69,25920,15154.06,5693,10309.14,10914,7239.37,238,3.01,66,4.55,13240,6012.03,713,815.96,69148,46798.34,36.51,
Hazaribagh,121408,83452.23,26352,20166.07,12608,24318.82,20593,22188.25,1809,7.35,115,41.24,55430,27332.25,3843,5171.97,162636,121168.73,20.13,
Jamtara,53696,33401.74,17050,11599.18,4830,7330.32,10121,5757.61,669,1.59,46,5.38,11694,6494.28,630,558.91,60621,38353.07,39.66,
Khunti,41110,23270.98,20177,11743.10,3840,8519.15,4330,3207.67,745,0.99,25,15.69,15720,6365.72,5039,2177.62,46794,30685.25,30.52,
Koderma,51136,31084.71,9830,6246.77,4853,9411.05,8223,6724.67,482,6.75,18,12.37,21371,8927.66,827,1248.84,70899,48227.72,25.08,
Latehar,37654,31703.06,15467,13743.65,6166,12630.23,6274,4802.18,260,3.17,16,1.98,13001,6236.70,523,1061.38,47419,39981.35,35.48,
Lohardaga,38275,25729.71,15286,9404.84,3741,7716.81,9548,6441.56,286,0.40,58,15.05,12100,5417.71,567,828.00,49065,36433.51,36.36,
Pakur,45222,32481.68,17577,13978.10,5874,11429.79,14730,14600.61,342,1.26,14,5.97,38849,18781.25,2275,4734.95,71582,50876.54,37.36,
Palamu,142619,110148.31,56750,45932.78,13980,23782.06,17962,13913.67,180,0.91,38,3.71,72631,36640.29,1909,3471.04,178940,128085.90,37.39,
Ramgarh,43990,27782.93,14535,9770.84,5177,10388.78,6710,7495.34,1944,7.62,175,62.42,34614,14735.71,3363,2435.66,72971,53694.17,13.77,
Ranchi,1080413,359418.00,439021,152685.23,15701,36005.46,1924200,138597.82,9453,20.66,626,72.32,89044,45184.66,11427,19680.75,1248939,481686.61,11.89,
Sahibganj,58013,42902.23,24218,19924.75,7607,13128.79,11443,11361.90,616,1.51,34,2.37,36644,19489.72,1579,2239.72,84971,60210.47,40.49,
Seraikela-Kharsawan,153473,65140.57,69478,28715.41,6703,14254.48,24275,9843.78,2687,3.07,311,25.50,25863,16287.50,669,1161.11,190498,87569.43,19.99,
Simdega,27713,16622.10,14579,9052.92,4637,7286.74,9120,5593.84,885,0.37,39,3.69,10261,4365.57,397,490.72,35700,24516.90,39.09,
West Singhbhum,78050,53694.98,47775,35846.01,9912,25037.62,12008,12925.34,5695,8.23,496,39.06,29137,15829.69,512,1853.49,107237,87118.02,21.05,
