district,as_on_31st_march_2024_agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_non_priority_sector_no,amt,total_nps_no,amt,total_advance_no,amt,col_16
Bokaro,34,86.53,98,1600.00,4379,69051.04,33755,77001.91,120344,324207.75,158610,471947.23,338327,876306.47,
Chatra,4,,,,193,3000.86,5378,15441.98,16329,35237.81,21904,53680.64,112093,140316.64,
Deoghar,120,494.81,46,653.72,1887,31847.61,14002,27394.64,49874,111574.12,65929,171964.90,228372,392156.22,
Dhanbad,39,1123.72,118,1714.39,7710,78447.74,56945,149488.63,195472,554732.21,260284,785506.69,517418,1451514.36,
Dumka,41,67.28,5,55.98,338,6595.61,6965,13310.77,30157,69019.43,37506,89049.06,167111,214258.60,
East Singhbhum,97,438.59,1048,9849.14,15264,233295.23,67613,139774.51,272207,800867.28,356229,1184224.74,639785,2166932.44,
Garhwa,7,7.07,4,55.72,181,2555.53,5537,11108.98,18937,42202.96,24666,55930.26,149293,167179.17,
Giridih,25,35.25,20,280.18,948,16817.61,15002,27312.66,52851,142873.96,68846,187319.65,290297,457795.98,
Godda,77,171.19,4,40.43,357,4167.77,5916,10319.02,26680,65410.25,33034,80108.65,150472,196837.38,
Gumla,296,139.53,3,32.95,231,4797.81,4745,9417.43,13876,36986.65,19151,51374.36,98594,128191.94,
Hazaribagh,34,49.08,48,767.56,2363,35968.63,19787,46128.28,82185,181506.74,104417,264420.28,307249,602019.59,
Jamtara,48,62.12,4,66.02,294,2766.04,3967,5436.46,14951,32326.84,19264,40657.48,86885,96710.34,
Khunti,62,23.77,4,34.36,218,4329.20,3506,6465.78,14954,41460.18,18744,52313.30,70211,100554.84,
Koderma,6,5.21,9,212.89,377,6984.82,6582,10732.31,26143,56366.24,33117,74301.47,124589,192332.24,
Latehar,11,205.59,2,22.55,120,2323.50,3842,8913.00,13519,43451.09,17494,54915.73,71608,112696.00,
Lohardaga,1,2.50,2,52.96,211,4329.05,2886,5990.47,12742,28934.96,15842,39309.94,71110,100203.36,
Pakur,1,,1,22.44,360,4997.70,2744,4334.14,24597,39540.99,27703,48895.27,112632,136188.69,
Palamu,26,39.59,10,129.31,559,10332.72,12535,22008.65,49023,114594.62,62153,147104.88,257252,342559.42,
Ramgarh,35,22.90,25,496.28,1474,27212.77,17827,50539.22,49179,143736.84,68540,222008.01,164385,389885.16,
Ranchi,542,33849.71,715,11416.82,20963,419537.29,89667,227370.55,378604,1694434.53,490491,2386608.89,1863169,4050072.81,
Sahibganj,48,85.49,1,9.37,277,3185.26,5253,9367.51,21465,47186.22,27044,59833.85,123951,148709.14,
Seraikela-Kharsawan,4,4.72,59,845.18,1932,30219.41,13615,25095.59,36778,112932.53,52388,169097.43,266286,438028.34,
Simdega,2,5.24,7,113.44,94,1611.12,2487,5769.53,8607,17507.52,11197,25006.85,52172,62714.36,
West Singhbhum,26,121.13,29,389.72,831,13527.88,11579,24554.05,35949,216871.06,48414,255463.84,174829,413812.49,
