district,no_of_cases_pending_no_of_a_cs,amount_in_lacs,no_of_cases_filed_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_no_of_a_cs,amount_in_lacs
Bokaro,4456,17558.25,173,224.23,49,842.00,4580,16940.48
Chatra,210,477.82,31,71.40,38,90.17,203,459.05
Deoghar,3607,5301.62,19,23.97,7,51.08,3619,5274.51
Dhanbad,3791,6921.01,678,550.59,220,278.27,4249,7193.33
Dumka,144,107.19,352,333.00,0,8.88,496,431.31
East Singhbhum,1369,3623.21,88,312.05,4,9.56,1453,3925.70
Garhwa,397,274.47,0,0.00,41,90.90,356,183.56
Giridih,7456,2775.47,180,66.64,148,51.80,7488,2790.31
Godda,1151,717.49,95,41.81,53,24.41,1193,734.89
Gumla,319,437.43,188,264.72,2,4.26,395,697.78
Hazaribagh,1244,4552.99,78,147.33,86,182.74,1236,4517.58
Jamtara,394,383.65,87,39.00,69,32.00,412,390.65
Khunti,149,334.66,105,145.33,1,0.00,253,479.90
Koderma,85,364.92,17,79.29,22,100.96,80,343.25
Latehar,182,170.28,19,65.77,0,0.00,201,236.05
Lohardaga,39,44.79,3,4.32,1,0.76,41,48.35
Pakur,1280,1029.39,214,104.00,179,71.00,1315,1062.39
Palamu,1525,1539.49,0,0.00,269,514.12,1256,1025.37
Ramgarh,904,2643.08,48,79.92,375,1342.85,577,1380.15
Ranchi,2534,4410.16,625,1756.88,6,8.79,3153,6158.25
Sahibganj,922,970.56,180,124.05,96,42.00,1006,1052.61
Seraikela-Kharsawan,312,1029.38,6,52.38,0,7.87,318,1073.89
Simdega,57,121.27,2,1.76,0,0.00,59,123.03
West Singhbhum,411,1591.80,1,1.23,0,0.00,412,1593.03
