district,shgs_credit_linkage_target_fy_2023_24_total_no_shgs_for_credit_linkage,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh,achievements_as_on_31032024_total_shgs_repeat_renewals_enhancement_fy_2023_24,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh
Bokaro,9780,17900,19010,10495,20559,23736
Chatra,7240,13200,14080,8546,12869,17147
Deoghar,5550,10200,10790,6113,11084,12121
Dhanbad,6250,11400,12140,7081,15206,15553
Dumka,7620,13900,14810,7462,13207,16464
Garhwa,8120,14800,15780,7551,14956,17959
Giridih,13420,24600,26080,12780,23484,29704
Godda,6320,11600,12280,7020,12660,15753
Gumla,6220,11400,12090,4574,10015,12718
Hazaribagh,11380,20800,22120,12510,25159,28809
Jamtara,3730,6800,7260,4243,6823,7798
Khunti,3870,7200,7520,3652,7679,10076
Koderma,4850,8800,9420,6190,12870,14878
Latehar,5700,10400,11070,5882,9555,13912
Lohardaga,3390,6200,6500,3040,6494,8300
Pakur,6040,11000,11700,6593,8559,14992
Palamu,13300,24300,25800,11855,19392,27047
Ramgarh,5900,10800,11400,5804,11453,14996
Ranchi,15400,28300,29900,13459,26210,38921
Sahibganj,6060,11200,11770,6555,10421,13367
Simdega,4540,8300,8830,3922,6612,9476
West Singhbhum,9220,16900,17800,8613,14184,25856
