district,grand_total_of_laf,returned_by_bank,returned_after_sanction,resubmit_ted_applicati_ons,picked_up_status_pending_for_sanction,total_sanctioned,pct_total_sanctioned_vs_total_application_laf,total_sanctioned_but_pending_for_disbursement,total_disbursement,pct_total_disbursement_vs_total_sanction,npa,applications_already_closed
Bokaro,6086,625,214,152,285,5328,87.55,442,4886,91.70,347,1181
Chatra,949,155,160,1,17,778,81.98,14,764,98.20,132,494
Deoghar,5715,552,372,148,119,5192,90.85,296,4896,94.30,393,1183
Dhanbad,16508,2648,1231,251,511,13600,82.38,852,12748,93.74,863,3427
Dumka,1279,8,24,36,62,1245,97.34,73,1172,94.14,83,382
Garhwa,1787,136,260,13,98,1566,87.63,83,1483,94.70,173,438
Giridih,4388,485,306,136,150,3889,88.63,146,3743,96.25,507,1115
Godda,1533,133,85,4,40,1364,88.98,11,1353,99.19,140,531
Gumla,783,43,48,29,19,750,95.79,28,722,96.27,80,316
Hazaribagh,4767,624,377,194,239,4098,85.97,458,3640,88.82,151,832
Jamtara,1057,142,75,16,42,889,84.11,53,836,94.04,64,243
Khunti,701,57,77,2,34,612,87.30,21,591,96.57,22,240
Koderma,2204,179,155,8,26,2007,91.06,56,1951,97.21,337,920
Latehar,597,21,19,7,18,565,94.64,43,522,92.39,50,301
Lohardaga,1188,191,61,13,86,924,77.78,63,861,93.18,52,314
Pakur,704,81,74,1,19,605,85.94,10,595,98.35,35,187
Palamu,5248,122,513,224,162,5188,98.86,184,5004,96.45,277,1215
Ramgarh,2647,552,358,25,75,2045,77.26,156,1889,92.37,137,696
Ranchi,15913,1076,2033,869,819,14887,93.55,1139,13748,92.35,598,4091
Sahibganj,2279,130,156,33,109,2073,90.96,91,1982,95.61,98,386
Seraikela-Kharsawan,3494,412,303,61,339,2804,80.25,133,2671,95.26,140,835
Simdega,761,126,18,3,25,613,80.55,13,600,97.88,67,256
West Singhbhum,1857,190,129,8,126,1549,83.41,66,1483,95.74,104,592
