district,total_target_for_2022_23_no_of_prj,mm_involve_in_lakh,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_involve_in_lakh,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Bokaro,413,1197.70,551,2146.99,187,613.22,145,448.00,77,292.61,267,1093.25,103,420.85,76,200.58
Chatra,179,519.10,347,1032.39,92,193.97,75,163.73,37,86.23,218,660.02,41,134.53,43,85.67
Deoghar,253,733.70,598,1334.30,201,538.76,175,458.71,95,288.14,332,628.72,71,159.44,88,181.86
Dhanbad,405,1174.50,807,1840.88,302,524.34,218,410.29,68,216.77,395,1018.90,125,341.93,158,211.01
Dumka,306,887.40,473,1070.16,164,287.34,206,342.15,136,235.65,253,605.50,57,132.50,81,137.82
Garhwa,183,530.70,224,766.88,65,184.27,42,134.07,31,82.97,127,420.28,35,135.05,20,72.11
Giridih,292,846.80,634,1789.69,223,476.20,236,487.21,145,304.16,326,980.41,93,316.07,102,203.52
Godda,294,852.60,534,1416.76,173,379.11,204,524.78,113,344.86,314,840.86,51,163.99,97,191.83
Gumla,186,539.40,304,922.14,81,213.47,75,201.59,37,75.14,183,530.67,48,166.02,43,133.03
Hazaribagh,430,1247.00,989,2934.81,280,796.10,265,748.23,146,502.89,595,1649.57,118,394.78,129,264.82
Jamtara,175,507.50,376,902.31,100,219.77,68,130.31,30,45.43,193,495.39,88,174.37,41,87.24
Khunti,201,582.90,270,657.91,107,178.40,68,105.02,23,43.93,139,386.30,27,64.82,51,74.36
Koderma,203,588.70,400,829.49,108,189.54,84,143.38,52,102.82,253,515.99,40,101.99,43,71.50
Latehar,148,429.20,148,362.06,64,156.96,50,133.66,22,65.18,72,175.10,16,37.05,34,93.81
Lohardaga,186,539.40,278,751.60,115,274.80,97,222.65,55,87.32,138,367.07,32,96.75,52,147.59
Pakur,203,588.70,265,539.04,71,91.46,64,73.39,47,64.48,162,379.70,32,53.33,25,36.32
Palamu,240,696.00,339,1177.29,121,265.97,107,264.65,62,165.60,189,732.67,32,145.69,51,116.81
Ramgarh,303,878.70,388,1313.40,119,440.71,80,316.64,48,200.60,224,631.94,52,218.67,38,145.75
Ranchi,390,1131.00,1073,3547.51,370,935.11,310,763.13,190,510.84,525,1777.33,196,809.27,148,348.27
Sahibganj,294,852.60,698,1114.41,184,262.59,182,250.25,93,117.83,446,719.77,70,103.40,107,150.58
Simdega,176,510.40,201,574.17,75,151.13,73,145.13,41,71.06,94,290.51,34,122.45,34,76.87
