district,as_on_31st_march_2024_export_credit_no,amt,education_no,amt,housing_no,amt,social_infra_no,amt,renewable_energy_no,amt,others_priority_sector_no,amt,total_priority_sector_no,amt,pct_of_total_pri_sec_loans_to_total_advances,col_17
Bokaro,,,3312,11370.27,3449,31287.13,2,1.69,1,,32483,11622.65,179717,404359.25,46.14,
Chatra,,,259,742.41,166,1272.29,1,0.47,,,4021,1546.76,90189,86636.00,61.74,
Deoghar,,,1156,3969.61,1967,12103.92,4,2.26,6,10.12,18489,6444.69,162443,220194.28,56.15,
Dhanbad,1,299.00,5816,17169.22,10549,88993.61,5,9.70,,,63757,23820.22,257134,666009.11,45.88,
Dumka,,,271,855.70,813,6081.44,10,6.34,38,39.73,16446,6346.47,129605,125210.28,58.44,
East Singhbhum,,,8244,34510.19,10383,75170.26,8,97.11,,,63726,24890.83,283556,982684.28,45.35,
Garhwa,,,298,889.69,307,2454.62,22,47.83,8,2.45,11637,4340.82,124627,111248.91,66.54,
Giridih,25,7507.00,1085,3173.22,978,7439.39,4,104.43,,,29890,11886.24,221451,270478.95,59.08,
Godda,,,515,1310.05,1267,10285.51,2,0.61,39,4.00,8264,3608.23,117438,116728.72,59.30,
Gumla,,,560,1052.89,293,2451.69,1,0.19,1,9.89,4900,1934.90,79443,76821.10,59.93,
Hazaribagh,,,1440,4888.99,2329,18721.76,30,19.37,,,22059,9876.76,202832,337599.30,56.08,
Jamtara,,,435,810.37,381,2406.16,,,15,2.91,2806,830.11,67621,56052.87,57.96,
Khunti,,,182,530.91,234,2104.61,3,6.94,,,3942,1431.44,51467,48241.54,47.98,
Koderma,,,560,1764.04,639,4064.35,2,0.36,,,11132,4062.86,91472,118030.77,61.37,
Latehar,,,218,536.65,198,1929.98,1,0.01,3,0.65,5888,1844.31,54114,57780.27,51.27,
Lohardaga,,,223,754.77,270,2144.68,,,,,5821,2382.13,55268,60893.42,60.77,
Pakur,,,155,339.06,420,3643.83,9,4.00,,,19965,7847.03,84929,87293.79,64.10,
Palamu,,,829,2508.28,794,6445.13,9,36.74,2,1.72,24133,10245.10,195099,195454.54,57.06,
Ramgarh,,,1147,3597.31,992,9065.57,6,15.69,1,6.02,16174,6452.03,95845,167877.15,43.06,
Ranchi,2,4484.00,12508,52075.37,13156,146781.01,2260,210.00,2,7.32,53362,26058.50,1372678,1663477.99,41.07,
Sahibganj,,,635,1279.45,529,4300.79,1,0.04,46,47.40,15899,6788.99,96907,88875.29,59.76,
Seraikela-Kharsawan,,,2242,5836.22,1461,10431.85,1,0.44,,,12439,5322.05,213898,268930.91,61.40,
Simdega,,,136,338.77,127,1078.18,1,0.30,,,3447,1160.46,40975,37707.52,60.13,
West Singhbhum,,,1567,6192.35,920,8481.41,2,0.59,,,15911,5840.99,126415,158348.64,38.27,
