district,total_npa_under_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,msme_no,amt,other_psl_no,amt,total_psl_npa_no,amt,col_14
Bokaro,17850,8323.50,55,559.43,222,596.77,10800,33571.66,4659,758.39,33586,43809.75,
Chatra,20866,10189.37,12,72.98,73,157.49,2800,5465.32,208,45.15,23959,15930.30,
Deoghar,24526,10504.31,50,101.52,127,306.57,5294,7412.10,909,177.18,30906,18501.69,
Dhanbad,21542,11483.06,173,1041.97,413,1060.19,12368,26479.77,6228,872.34,40724,40937.34,
Dumka,20408,7739.09,10,34.47,37,86.53,4756,4488.72,1038,165.92,26249,12514.73,
East Singhbhum,21568,12071.15,257,1873.21,477,1078.54,14316,56056.83,3021,532.24,39639,71611.96,
Garhwa,15101,8145.16,6,48.58,53,139.60,2049,1873.51,678,163.88,17887,10370.72,
Giridih,30269,13227.48,26,60.27,225,576.98,8099,13160.14,1827,294.48,40446,27319.35,
Godda,16563,7865.08,7,49.04,47,122.55,3724,3992.47,468,115.54,20809,12144.68,
Gumla,25512,10706.64,23,122.67,71,147.13,2731,3775.29,175,32.13,28512,14783.85,
Hazaribagh,32459,20780.17,154,955.19,226,638.09,7856,17436.21,1664,288.97,42359,40098.63,
Jamtara,10778,3937.25,5,19.56,22,57.43,1835,1859.31,49,5.94,12689,5879.48,
Khunti,8731,4041.17,5,29.62,25,69.70,1548,2096.55,165,22.42,10474,6259.47,
Koderma,15700,8491.22,54,203.81,77,170.19,3508,8070.53,1236,101.68,20575,17037.44,
Latehar,7095,3440.15,11,87.57,26,82.83,1174,1190.46,177,32.70,8483,4833.72,
Lohardaga,15897,8433.53,11,81.26,58,179.64,1983,3769.61,63,14.81,18012,12478.85,
Pakur,10035,4775.14,5,10.79,18,50.36,2008,2033.39,570,91.54,12636,6961.22,
Palamu,21862,12836.85,19,105.77,137,450.18,4589,6421.31,1005,260.43,27612,20074.53,
Ramgarh,9821,4447.49,29,115.57,93,257.88,5718,12049.48,2351,372.24,18012,17242.66,
Ranchi,35711,32063.60,226,1952.93,826,2407.05,19472,105008.69,2135,516.07,58370,141948.35,
Sahibganj,12302,7017.86,11,40.38,57,138.41,3145,2875.63,939,204.69,16454,10276.97,
Seraikela-Kharsawan,16515,10203.99,27,106.47,88,250.03,4504,9122.73,812,118.44,21946,19801.65,
Simdega,10520,4608.50,5,20.73,38,110.97,1718,2164.34,86,36.70,12367,6941.25,
West Singhbhum,21498,11751.11,72,572.06,132,348.32,4915,10533.18,1080,164.16,27697,23368.82,
