district,digital_coverage_for_savings_accounts_eligible_operative_savings_accounts_no_of,"of_which,_no_of_women_accounts","coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards,_in",pct_coverage_mar_24,pct_coverage_feb_24,growth_decline,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts",pct_coverage_for_women_accounts_mar_24,pct_coverage_feb_24,growth_decline,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_banks_board_a,digital_coverage_for_businesses_current_accounts_total_no_of_eligible_operative,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facili,s_net_pct_coverage_mar_24,pct_coverage_feb_24,growth_decline,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per
Bokaro,2348394,987333,2313212,98.50,98.40,▲ 0.10,"covered
969368",98.18,97.95,▲ 0.23,310194,51589,48541,94.09,91.98,▲ 2.29,30
Chatra,982493,438465,967235,98.45,98.41,▲ 0.04,428899,97.82,97.84,▼ 0.02,149296,9697,8595,88.64,86.41,▲ 2.58,21
Deoghar,1765815,802768,1748985,99.05,98.58,▲ 0.47,794634,98.99,98.53,▲ 0.46,290301,31641,30547,96.54,94.39,▲ 2.28,24
Dhanbad,3260915,1439782,3221358,98.79,98.53,▲ 0.26,1417133,98.43,98.09,▲ 0.34,336803,86985,81119,93.26,91.84,▲ 1.54,29
Dumka,1315799,667240,1302891,99.02,98.71,▲ 0.32,659181,98.79,98.24,▲ 0.56,306291,15462,14929,96.55,95.59,▲ 1.01,20
Garhwa,1241107,545447,1231839,99.25,99.35,▼ 0.10,536175,98.30,98.37,▼ 0.07,216347,12147,11650,95.91,96.02,▼ 0.11,21
Giridih,2796345,1254838,2750435,98.36,98.18,▲ 0.19,1220795,97.29,97.15,▲ 0.14,296043,33832,31719,93.75,92.83,▲ 0.99,26
Godda,1258325,595443,1248695,99.23,99.04,▲ 0.20,588836,98.89,98.72,▲ 0.17,260009,12595,12157,96.52,95.06,▲ 1.54,22
Gumla,1035266,489769,1019082,98.44,98.06,▲ 0.39,480253,98.06,97.77,▲ 0.30,101107,9658,8714,90.23,89.26,▲ 1.08,20
Hazaribagh,2217322,976378,2175620,98.12,97.67,▲ 0.46,951499,97.45,97.30,▲ 0.16,245389,42294,38928,92.04,90.82,▲ 1.35,27
Jamtara,806517,348869,793265,98.36,95.33,▲ 3.17,345680,99.09,98.55,▲ 0.54,172867,7552,7157,94.77,94.41,▲ 0.38,18
Khunti,477332,215260,463418,97.09,94.83,▲ 2.37,208090,96.67,95.04,▲ 1.71,50229,5468,5040,92.17,91.04,▲ 1.24,19
Koderma,900320,404664,882189,97.99,97.72,▲ 0.28,396563,98.00,97.63,▲ 0.37,135466,18890,17460,92.43,91.43,▲ 1.10,23
Latehar,712146,321080,702290,98.62,98.72,▼ 0.11,314620,97.99,97.77,▲ 0.23,124686,10979,10623,96.76,96.70,▲ 0.06,19
Lohardaga,566449,261844,552630,97.56,96.67,▲ 0.92,253826,96.94,96.10,▲ 0.88,68010,8696,7577,87.13,84.34,▲ 3.32,18
Pakur,894225,455374,876396,98.01,97.44,▲ 0.58,446243,97.99,97.06,▲ 0.96,188001,12344,11992,97.15,97.04,▲ 0.11,21
Palamu,1918266,838646,1901168,99.11,98.52,▲ 0.60,820105,97.79,97.74,▲ 0.05,338189,24705,23452,94.93,93.75,▲ 1.25,24
Ramgarh,1195549,519573,1170800,97.93,97.40,▲ 0.55,504418,97.08,96.62,▲ 0.48,124455,22344,20204,90.42,88.93,▲ 1.67,26
Sahibganj,1056218,513268,1044887,98.93,98.67,▲ 0.26,507292,98.84,98.67,▲ 0.16,245928,12746,12195,95.68,95.32,▲ 0.38,21
Seraikela-Kharsawan,1164762,533977,1139049,97.79,97.49,▲ 0.31,520743,97.52,96.89,▲ 0.65,114416,19555,17841,91.23,89.39,▲ 2.07,25
Simdega,626321,305383,613012,97.88,97.38,▲ 0.51,299379,98.03,97.00,▲ 1.06,59289,6210,5838,94.01,92.68,▲ 1.44,19
