district,agri_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,anicillary_activities_includes_all_ancillary_activites_under_agriculture_sector,amt,achv_no,amt,achv_pct_amt,total_agriculture_farm_credit+agri_infr+anci_acti_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,666,433,22,98.29,22.70,7734,14033,6364,16470.60,117.37,82098,72148,45849,53854.53,74.64
Chatra,55,36,116,58.82,163.38,5664,9224,4787,8498.15,92.13,73628,43451,35777,31933.72,73.49
Deoghar,12741,8282,26,525.00,6.34,4385,25596,1529,21843.07,85.34,93253,93108,65689,69654.99,74.81
Dhanbad,1998,1299,67,251.67,19.37,6055,19693,5060,21526.83,109.31,78714,74598,53391,68277.22,91.53
Dumka,73,48,65,58.51,121.90,1187,1925,890,3040.52,157.95,67883,51680,51510,39456.77,76.35
East Singhbhum,461,300,21,221.11,73.70,8085,21721,8787,28651.07,131.90,119648,95683,69245,86558.47,90.46
Garhwa,18,12,55,24.40,203.33,1094,1643,460,1035.91,63.05,66013,70433,59948,60375.28,85.72
Giridih,505,328,66,69.68,21.24,7431,9985,6374,24024.18,240.60,117619,67973,73200,76058.26,111.89
Godda,18,12,2,0.65,5.42,2358,3313,1494,3683.09,111.17,67396,60735,47515,40826.47,67.22
Gumla,6,4,5,7.87,196.75,3749,7991,2886,7618.43,95.34,48944,37109,23267,27334.85,73.66
Hazaribagh,140,92,43,84.50,91.85,7735,21308,5973,22942.27,107.67,118762,90538,65977,77550.16,85.66
Jamtara,37,24,7,3.30,13.75,1653,2822,1521,2679.97,94.97,43514,35405,29354,23883.34,67.46
Khunti,469,305,3,6.50,2.13,1986,5770,1576,3628.78,62.89,29254,22608,20108,16595.17,73.41
Koderma,111,72,,,0.00,4816,11242,4280,11495.45,102.25,59882,33648,27331,29237.40,86.89
Latehar,,,185,75.25,0.00,1656,2724,1104,2109.28,77.43,27932,26753,22056,23279.11,87.01
Lohardaga,123,80,13,10.55,13.19,3037,6179,2386,7417.57,120.04,41406,21452,15265,19178.00,89.40
Pakur,469,305,131,109.67,35.96,2147,3524,2150,2646.11,75.09,35305,32511,25419,21846.71,67.20
Palamu,37,24,564,305.00,1270.83,3433,5187,2029,3841.86,74.07,93478,95841,89371,85467.89,89.18
Ramgarh,476,309,12,35.03,11.34,3858,7643,3450,8155.06,106.70,42877,30650,29751,27586.94,90.01
Ranchi,8971,5834,125,1687.24,28.92,7568,58075,6572,76064.83,130.98,1117516,466863,573612,357195.96,76.51
Sahibganj,18,12,13,53.10,442.50,1541,2740,1264,2018.40,73.66,49864,52459,35700,33822.47,64.47
Seraikela-Kharsawan,3054,1985,5,37.83,1.91,3796,6055,3451,9528.01,157.36,159438,67066,79335,52919.78,78.91
Simdega,43,28,1,4.00,14.29,2364,3964,2027,4093.53,103.27,31884,17336,13008,14059.85,81.10
West Singhbhum,271,176,7,7.32,4.16,2908,7643,2971,5749.09,75.22,79370,48454,37365,33843.86,69.85
