district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Bokaro,1000,2320.93,9024,13141.53,290,262.83,137,521.13,2,0.65,42,205.08,10495,16452.14
Chatra,1006,1130.55,2627,2766.07,1,0.93,30,63.91,1,9.50,6,63.10,3671,4034.06
Deoghar,2967,2090.38,11326,12900.24,71,97.98,59,64.86,2,0.90,7,1.45,14432,15155.82
Dhanbad,1068,2057.57,25680,28829.26,495,388.94,308,2776.27,,,23,197.90,27574,34249.95
Dumka,2506,3404.96,4495,3650.86,23,23.45,20,17.59,6,15.06,8,4.30,7058,7116.23
East Singhbhum,1869,4110.33,13487,22192.20,452,501.82,1765,8460.38,9,21.10,57,303.34,17639,35589.18
Garhwa,2021,2322.71,5766,4608.41,12,3.02,9,15.52,,,12,6.11,7820,6955.78
Giridih,1117,1489.96,21669,19013.04,21,7.93,53,1238.49,3,1.28,54,221.27,22917,21971.97
Godda,1897,1770.69,6389,6544.79,30,25.83,14,15.20,,,7,3.13,8337,8359.64
Gumla,2058,2852.65,2153,2132.92,,,33,80.55,,,4,26.50,4248,5092.63
Hazaribagh,1895,2910.53,12753,15154.56,115,236.24,84,695.07,1,0.00,56,210.84,14904,19207.25
Jamtara,1022,900.35,3659,3647.47,6,1.92,11,20.23,,,1,0.75,4699,4570.72
Khunti,1632,2049.26,906,1158.59,34,20.77,26,87.66,2,2.04,4,6.61,2604,3324.93
Koderma,337,488.08,5100,4963.61,4,1.04,42,432.48,,,12,64.06,5495,5949.27
Latehar,1148,1724.58,3178,3351.59,14,1.63,14,31.29,,,11,55.40,4365,5164.49
Lohardaga,563,974.09,5528,4735.74,2,1.52,11,16.92,,,16,7.89,6120,5736.16
Pakur,1187,1341.97,24135,19953.85,5,3.80,70,152.50,1,0.11,4,1.39,25402,21453.61
Palamu,2935,3651.02,8873,7736.40,4,11.35,39,236.20,3,1.14,29,98.20,11883,11734.30
Ramgarh,398,1047.45,5421,7261.63,36,43.81,146,951.40,,,28,637.66,6029,9941.94
Ranchi,15471,24239.35,249891,133300.53,919,733.41,366,2685.18,1,0.50,91,1237.76,266739,162196.73
Sahibganj,2099,2220.36,11627,10063.10,5,4.30,12,10.61,,,4,2.95,13747,12301.32
Seraikela-Kharsawan,1402,1662.99,13930,6813.75,33,36.50,72,253.24,1,0.32,14,7.59,15452,8774.39
Simdega,3100,3704.27,1000,1282.15,5,2.20,3,3.36,,,4,10.51,4112,5002.49
West Singhbhum,2460,2891.06,2766,3739.01,47,95.60,158,657.35,1,0.50,22,37.17,5454,7420.70
