district,target_fy_2023_24_ac,amt,priority_sector_outstanding_as_on_as_on_31st_march_2023_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_as_on_31st_march_2024_ac,amt,non_priority_sector_outstanding_as_on_as_on_31st_march_2023_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_ac,amt,outstanding_as_on_as_on_31st_march_2024_ac,amt
Bokaro,2787,32162.00,2925,27656.65,688,4005.72,3449,31287.13,3854,58387.05,1085,17583.17,4379,69051.04
Chatra,96,1475.00,167,1296.58,18,141.03,166,1272.29,169,2624.46,32,712.09,193,3000.86
Deoghar,1241,15868.00,1778,12313.50,290,1335.17,1967,12103.92,1506,25858.68,434,8225.88,1887,31847.61
Dhanbad,6265,46629.00,8286,78257.01,3177,13533.06,10549,88993.61,6311,63924.77,1837,23135.63,7710,78447.74
Dumka,282,3277.00,755,5945.50,80,687.17,813,6081.44,284,5683.82,67,1501.15,338,6595.61
East Singhbhum,8246,89381.00,264,2231.74,76,356.14,307,2454.62,155,2134.33,49,841.79,181,2555.53
Garhwa,148,1558.00,860,7166.13,185,865.99,978,7439.39,795,13188.09,248,5130.39,948,16817.61
Giridih,466,7261.00,1139,10121.70,107,1097.79,1267,10285.51,278,3136.27,101,1428.21,357,4167.77
Godda,313,3676.00,281,2319.53,49,319.01,293,2451.69,208,3824.66,70,1434.46,231,4797.81
Gumla,193,2517.00,2092,18192.83,298,1723.14,2329,18721.76,2039,29404.76,552,9611.84,2363,35968.63
Hazaribagh,1401,16265.00,361,2582.79,17,165.94,381,2406.16,263,2495.20,41,617.77,294,2766.04
Jamtara,70,1077.00,226,2109.61,40,269.82,234,2104.61,195,3751.60,57,961.31,218,4329.20
Khunti,157,2474.00,607,3795.36,99,544.47,639,4064.35,329,5559.23,125,2031.34,377,6984.82
Koderma,417,3755.00,177,1869.66,32,250.84,198,1929.98,118,2044.37,23,605.30,120,2323.50
Latehar,93,1307.00,264,2151.49,67,158.86,270,2144.68,180,3464.02,71,1104.16,211,4329.05
Lohardaga,166,2564.00,400,3360.27,24,202.65,420,3643.83,348,4754.52,67,1008.67,360,4997.70
Pakur,171,1896.00,728,6180.90,159,1064.84,794,6445.13,452,8218.98,141,2645.68,559,10332.72
Palamu,410,5379.00,934,8610.40,112,1159.20,920,8481.41,725,10972.73,180,4053.67,831,13527.88
Ramgarh,934,13326.00,8813,75558.49,2446,9160.13,10383,75170.26,12523,194668.31,3333,58195.46,15264,233295.23
Ranchi,10307,175796.00,924,8529.84,158,1173.75,992,9065.57,1246,22019.84,466,8237.35,1474,27212.77
Sahibganj,216,2191.00,11549,135690.25,2964,21904.31,13156,146781.01,17300,344122.49,4584,106682.20,20963,419537.29
Seraikela-Kharsawan,1290,12961.00,474,4156.99,51,387.71,529,4300.79,233,2569.24,63,970.92,277,3185.26
Simdega,74,795.00,1171,9459.62,425,1888.42,1461,10431.85,1554,22833.22,438,7011.75,1932,30219.41
West Singhbhum,441,6410.00,128,1186.02,25,69.65,127,1078.18,82,1316.61,27,335.99,94,1611.12
