district,shishu_outstanding_no,amt,npa_no,amt,kishor_outstanding_no,amt,npa_no,amt,tarun_outstanding_no,amt,[no_in_actual_and_amt_in_lakh]_npa_no,amt,pmmy_outstanding_no,amt,npa_no,amt
Bokaro,85568,14878.39,9394,1371.05,42783,36980.27,3998,5123.01,3595,19823.49,613,3166.67,131946,71682,14005,9661
Chatra,26713,5094.17,1340,303.91,12941,10950.04,1176,1675.55,1235,6635.89,166,980.36,40889,22680,2682,2960
Deoghar,27145,6164.84,2193,692.34,21837,21926.92,2412,2765.66,1908,11646.29,209,1066.93,50890,39738,4814,4525
Dhanbad,150954,28703.87,10291,1317.42,65005,50695.27,3780,4678.69,4428,26517.45,636,3083.76,220387,105917,14707,9080
Dumka,38827,8914.38,3251,784.28,19820,14828.50,1863,1684.12,945,4818.87,153,540.17,59592,28562,5267,3009
East Singhbhum,111959,22029.92,6237,1436.33,64466,53690.12,4707,5755.42,5017,29912.62,685,3615.14,181442,105633,11629,10807
Garhwa,66801,13567.81,1695,408.83,33498,19882.20,1023,1050.99,951,5702.87,82,390.72,101250,39153,2800,1851
Giridih,170287,33042.27,4039,764.75,79053,54106.35,3350,4424.45,2875,16701.87,357,1986.55,252215,103850,7746,7176
Godda,55478,10831.67,2191,526.63,27571,18926.91,1964,2365.00,1259,6999.84,161,691.29,84308,36758,4316,3583
Gumla,35992,6155.73,941,189.05,8289,7191.30,829,1098.26,894,4852.86,119,568.55,45175,18200,1889,1856
Hazaribagh,79478,15391.21,3801,768.20,48018,39709.93,3582,4905.34,3575,20224.24,549,2800.66,131071,75325,7932,8474
Jamtara,11219,1799.31,909,179.64,6925,7278.35,782,958.15,408,2407.97,45,203.53,18552,11486,1736,1341
Khunti,12451,1741.17,688,182.89,6617,6126.32,520,710.66,498,2891.04,46,265.29,19566,10759,1254,1159
Koderma,47409,8860.27,2353,268.75,32208,23004.00,1242,1629.65,1472,8591.18,218,1096.82,81089,40455,3813,2995
Latehar,30049,5708.56,510,147.28,14068,8973.47,393,483.48,612,3598.34,52,210.91,44729,18280,955,842
Lohardaga,13155,2007.10,606,136.69,4489,5758.27,841,1274.58,856,4623.25,125,592.70,18500,12389,1572,2004
Pakur,64048,11615.49,1120,254.88,34239,21096.34,943,843.75,1190,4885.13,67,270.15,99477,37597,2130,1369
Palamu,90124,18911.97,2746,828.84,51809,33206.54,2232,2748.34,1970,11191.12,323,1556.96,143903,63310,5301,5134
Ramgarh,51038,9375.81,4107,682.25,28565,23699.96,2245,2781.84,1836,10686.95,241,1395.34,81439,43763,6593,4859
Ranchi,121603,24401.72,8111,1575.50,92577,81679.94,7144,9183.35,9755,53878.98,1363,7758.31,223935,159961,16618,18517
Sahibganj,59502,11227.73,1874,307.59,29754,20006.13,1286,1145.64,1229,6844.43,115,486.93,90485,38078,3275,1940
Seraikela-Kharsawan,29205,4673.49,3264,358.25,13500,14521.01,1456,1787.71,1191,7018.40,159,868.04,43896,26213,4879,3014
Simdega,6688,768.04,577,110.89,2589,3594.85,508,714.38,486,2902.60,57,355.44,9763,7265,1142,1181
West Singhbhum,36487,6179.37,2406,377.69,18649,20311.97,1479,1995.53,1346,7996.14,198,1016.93,56482,34487,4083,3390
