district,total_bc,bc_inactive,bc_active_a,male_out_of_a,female,fixed_yes,fixed_no,pos_yes,pos_no,extending_all_basic_banking_facilities_yes,extending_all_basic_banking_facilities_no,limited_services_yes,limited_services_no
Bokaro,6833,1452,5381,4922,459,2883,2498,619,4762,2372,3009,3928,1453
Chatra,6771,1284,5487,4988,499,2152,3335,614,4873,1710,3777,4419,1068
Deoghar,7978,1685,6293,5909,384,2675,3618,600,5693,2403,3890,5211,1082
Dhanbad,7508,1419,6089,5649,440,3343,2746,1010,5079,3140,2949,4229,1860
Dumka,4629,959,3670,3382,288,2399,1271,503,3167,1735,1935,2740,930
East Singhbhum,4554,1285,3269,2969,300,1550,1719,636,2633,1428,1841,1756,1513
Garhwa,12083,3034,9049,8410,639,3954,5095,1084,7965,2644,6405,7562,1487
Giridih,14178,2816,11362,10325,1037,7147,4215,1034,10328,4592,6770,9063,2299
Godda,8232,2104,6128,5598,530,3374,2754,1132,4996,2095,4033,4699,1429
Gumla,3685,764,2921,2588,333,1540,1381,428,2493,1373,1548,2260,661
Hazaribagh,7189,1541,5648,5071,577,3428,2220,815,4833,3001,2647,4240,1408
Jamtara,2005,395,1610,1530,80,882,728,246,1364,777,833,1269,341
Khunti,2016,424,1592,1386,206,829,763,275,1317,773,819,1190,402
Koderma,3313,658,2655,2416,239,1346,1309,304,2351,1120,1535,2048,607
Latehar,5731,1379,4352,4057,295,1605,2747,615,3737,1331,3021,3544,808
Lohardaga,2927,552,2375,2143,232,862,1513,187,2188,787,1588,2110,265
Pakur,3837,892,2945,2720,225,1676,1269,546,2399,1053,1892,2134,811
Palamu,11545,2382,9163,8400,763,5272,3891,1244,7919,4007,5156,7447,1716
Ramgarh,3647,710,2937,2568,369,1879,1058,415,2522,1665,1272,2154,783
Ranchi,8689,1753,6936,6200,736,4164,2772,973,5963,3850,3086,5233,1703
Sahibganj,4704,1182,3522,3271,251,2348,1174,712,2810,1553,1969,2499,1023
Seraikela-Kharsawan,3001,618,2383,2145,238,1117,1266,260,2123,881,1502,1792,591
Simdega,2590,573,2017,1774,243,1015,1002,323,1694,905,1112,1578,439
West Singhbhum,4882,1193,3689,3255,434,2223,1466,815,2874,1849,1840,2415,1274
