district,target_for_fy_2023_24_no,amt,application_received_during_current_fiscal_no,sanctioned_during_the_year_including_application_received_during_previous_year_n,amount,of_which_girl_student_no,amount,disbursed_during_the_financial_year_2023_24_till_31st_march_2024_no,amount,education_loan_outstanding_as_on_31st_march_2024_no,amount,of_which_girl_student_no,amount,col_15
Bokaro,1775,3837.00,591,591,3508.05,208,1571.90,1280,2936,3410,12970,1015,4319.76,
Chatra,79,148.00,27,27,102.40,4,19.26,64,140,259,742,38,124.88,
Deoghar,582,1389.00,175,175,1022.54,56,354.73,412,1165,1202,4623,313,1545.28,
Dhanbad,2533,4921.00,1158,1158,16634.48,320,1675.30,1936,3875,5934,18884,1460,5496.71,
Dumka,125,241.00,31,31,223.73,7,83.46,64,143,276,912,75,268.14,
East Singhbhum,3434,11722.00,1575,1575,14086.45,614,5502.95,2929,11986,9292,44359,3236,19924.96,
Garhwa,123,228.00,41,41,182.25,8,36.45,101,241,302,945,64,201.32,
Giridih,425,875.00,181,181,1047.06,40,301.23,328,700,1105,3453,241,898.51,
Godda,187,312.00,57,57,267.07,21,128.09,134,253,519,1350,131,369.68,
Gumla,252,403.00,220,220,547.25,197,414.97,262,470,563,1086,395,576.41,
Hazaribagh,575,1493.00,252,252,1705.91,62,503.10,499,1388,1488,5657,354,1552.95,
Jamtara,237,324.00,156,156,311.56,136,220.09,275,380,439,876,283,435.67,
Khunti,78,173.00,32,32,170.33,16,75.04,59,133,186,565,64,190.98,
Koderma,295,612.00,93,93,520.18,24,193.19,210,469,569,1977,126,476.84,
Latehar,65,82.00,70,70,133.31,53,88.58,99,164,220,559,89,194.37,
Lohardaga,74,127.00,29,29,103.28,15,46.68,55,101,225,808,73,257.44,
Pakur,130,106.00,15,15,72.84,8,21.12,71,117,156,362,78,103.08,
Palamu,290,595.00,115,115,500.47,42,257.26,233,463,839,2638,186,648.78,
Ramgarh,426,993.00,171,171,1365.97,67,737.58,337,958,1172,4094,344,1465.82,
Ranchi,5442,18995.00,2892,2892,18716.00,1299,6543.07,4461,14004,13223,63492,5053,22034.15,
Sahibganj,211,277.00,154,154,282.74,135,234.24,229,343,636,1289,380,558.24,
Simdega,46,75.00,24,24,199.76,15,91.13,37,151,143,452,71,165.99,
West Singhbhum,685,1388.00,305,305,1306.70,199,658.21,489,1181,1596,6582,765,2311.69,
