district,pmegp_outstandin_no,amt,npa_no,amt,npa_pct,mudra_loans_outstanding_no,amt,npa_no,amt,npa_pct,stand_up_india_outstandi_no,amt,npa_no,amt,npa_pct,shg_nrlm_nulm_outstanding_no,amt,npa_no,amt,npa_pct
Bokaro,929,3184.02,324,958.52,30.10,131946,71682.16,14005,9660.73,13.48,202,3327.80,61,713.03,21.43,22231,42851.32,617,354.35,0.83
Chatra,521,1284.22,198,416.05,32.40,40889,22680.09,2682,2959.82,13.05,57,634.45,13,108.28,17.07,15237,27950.96,552,348.18,1.25
Deoghar,1007,2779.83,334,498.76,17.94,50890,39738.05,4814,4524.93,11.39,155,2484.72,15,242.38,9.75,12224,19094.61,1180,1084.07,5.68
Dhanbad,1386,4043.45,512,1319.71,32.64,220387,105916.59,14707,9079.88,8.57,262,3840.92,74,676.30,17.61,16976,31106.44,781,422.17,1.36
Dumka,1192,2377.15,358,538.92,22.67,59592,28561.75,5267,3008.57,10.53,60,1537.82,2,0.12,0.01,12767,23052.71,495,437.77,1.90
East Singhbhum,1294,4880.71,310,785.63,16.10,181442,105632.66,11629,10806.88,10.23,374,5457.39,86,1004.30,18.40,25460,59935.47,949,690.82,1.15
Garhwa,316,820.82,63,125.86,15.33,101250,39152.89,2800,1850.54,4.73,18,203.01,3,3.33,1.64,12370,21676.30,141,97.16,0.45
Giridih,1082,2869.42,298,575.10,20.04,252215,103850.49,7746,7175.75,6.91,104,1828.87,9,75.66,4.14,29048,54273.35,1245,807.12,1.49
Godda,1047,2541.73,235,390.92,15.38,84308,36758.42,4316,3582.92,9.75,55,1152.07,8,67.72,5.88,12087,23779.37,364,281.86,1.19
Gumla,760,2004.00,204,441.75,22.04,45175,18199.89,1889,1855.85,10.20,36,605.12,6,45.67,7.55,12737,24814.00,895,643.39,2.59
Hazaribagh,1311,4301.76,416,1098.81,25.54,131071,75325.38,7932,8474.20,11.25,191,2416.27,51,371.85,15.39,24925,51272.49,687,414.02,0.81
Jamtara,554,975.10,135,136.37,13.99,18552,11485.63,1736,1341.31,11.68,24,437.43,,0.03,0.01,7348,11595.71,263,322.96,2.79
Khunti,490,1073.72,135,231.58,21.57,19566,10758.53,1254,1158.84,10.77,25,341.14,1,0.02,0.00,8537,18008.36,202,205.83,1.14
Koderma,662,1621.53,188,424.20,26.16,81089,40455.46,3813,2995.21,7.40,78,808.15,27,138.80,17.18,10902,26513.79,329,269.91,1.02
Latehar,324,601.48,84,107.10,17.81,44729,18280.37,955,841.67,4.60,76,1273.43,1,0.01,0.00,10376,20167.18,237,140.12,0.69
Lohardaga,697,1694.69,205,692.20,40.85,18500,12388.63,1572,2003.97,16.18,27,334.51,3,10.01,2.99,8736,18979.58,588,710.56,3.74
Pakur,793,1746.88,184,332.68,19.04,99477,37596.97,2130,1368.78,3.64,29,799.82,2,13.87,1.73,11104,22888.96,334,249.03,1.09
Palamu,491,1477.04,167,317.96,21.53,143903,63309.62,5301,5134.14,8.11,100,1437.39,5,46.88,3.26,19505,33607.37,441,417.40,1.24
Ramgarh,566,1916.55,124,321.06,16.75,81439,43762.72,6593,4859.43,11.10,149,1529.05,26,181.39,11.86,11476,26056.44,315,252.87,0.97
Ranchi,1698,5652.39,645,1737.27,30.74,223935,159960.64,16618,18517.15,11.58,602,9568.28,138,1702.39,17.79,34224,82543.52,1327,1682.61,2.04
Sahibganj,799,1919.96,145,244.91,12.76,90485,38078.29,3275,1940.16,5.10,33,575.75,1,0.04,0.01,10780,19135.78,291,165.82,0.87
Simdega,477,1051.54,165,284.58,27.06,9763,7265.49,1142,1180.71,16.25,29,283.11,6,36.70,12.96,8804,15940.44,365,252.81,1.59
West Singhbhum,632,1757.87,170,308.69,17.56,56482,34487.48,4083,3390.15,9.83,46,1715.88,6,24.78,1.44,18069,47048.44,404,369.75,0.79
