district,outstanding_loans_to_women_a_cs,amount,individual_women_a_cs,amount,loans_disbursed_to_women_a_cs,amount,col_8
Bokaro,108161,131687.82,51122,20570.66,64633,73180.06,
Chatra,31834,26861.07,23896,10650.80,23478,18655.04,
Deoghar,69593,62187.47,29410,14199.97,71002,51355.42,
Dhanbad,181645,192681.14,67309,32402.13,125347,124035.65,
Dumka,58805,43048.54,43430,18528.56,38450,29507.34,
East Singhbhum,198598,283608.67,81811,41356.43,138612,173426.85,
Garhwa,60719,34302.65,46411,21867.09,54208,31783.21,
Giridih,121204,86326.96,77271,33147.60,104951,76156.31,
Godda,52528,37993.26,36403,16720.05,44885,31264.27,
Gumla,26367,27905.30,13240,6012.03,17091,18261.41,
Hazaribagh,106848,101384.32,55430,27332.25,79540,75361.98,
Jamtara,17392,15014.43,11694,6494.28,11326,8825.19,
Khunti,23950,19802.12,15720,6365.72,16757,14536.12,
Koderma,51379,44045.35,21371,8927.66,40323,37302.03,
Latehar,17317,15570.89,13001,6236.70,15139,11065.13,
Lohardaga,20337,23245.75,12100,5417.71,16283,16075.67,
Pakur,51203,31176.94,38849,18781.25,37860,25184.32,
Palamu,102489,68027.80,72631,36640.29,84644,53205.26,
Ramgarh,56757,62584.85,34614,14735.71,36688,39775.92,
Ranchi,244018,502041.73,89044,45184.66,139324,256703.52,
Sahibganj,54117,33930.14,36644,19489.72,43847,29576.81,
Seraikela-Kharsawan,51238,53609.68,25863,16287.50,30168,34036.59,
Simdega,16937,15559.30,10261,4365.57,11842,11881.21,
West Singhbhum,53819,53441.65,29137,15829.69,40158,37269.71,
