district,pmjjby_no_of_enrollments,no_of_eligible_cases,no_of_renewals,pmsby_no_of_enrollments,no_of_eligible_cases,no_of_renewals,apy_enrollments_target_for_fy_2023_24,total_subscriber_from_01042023_to_31032024,total_subscribers_since_inception
Bokaro,246610,1783013,129639,658092,2442594,392924,18382,17399,95611
Chatra,193570,716930,112249,367101,918458,251006,5800,15785,59588
Deoghar,246673,801193,119843,628265,1214428,391194,12403,27472,123886
Dhanbad,314385,2276627,155105,809047,3142206,453530,25966,20685,112301
Dumka,241627,572186,131894,530500,908397,356410,10440,21978,88390
Garhwa,156339,586291,72762,348338,803649,216578,7495,16400,56796
Giridih,358220,1834989,189833,745372,2408727,500214,14634,32822,128197
Godda,204847,592053,103638,474373,912105,308120,9191,22766,98982
Gumla,161028,740988,86695,337834,955980,204307,6871,13205,60726
Hazaribagh,300735,1590420,158027,651807,2074684,437358,15526,24786,111072
Jamtara,125897,401500,64538,300280,598229,189283,6068,12007,54121
Khunti,79553,425432,40326,175347,542317,106456,4462,7150,29573
Koderma,106976,651140,61531,260306,852691,164953,6068,8538,38060
Latehar,112412,394663,64178,259634,553588,169368,4194,11079,44906
Lohardaga,79311,500264,42266,175000,635120,107870,3926,6351,31289
Pakur,127666,412023,67679,365051,623081,264018,5443,21779,84249
Palamu,266868,935856,136271,587705,1345375,382573,11243,27296,87799
Ramgarh,139564,829233,71774,338402,1101885,208146,10172,7059,42347
Ranchi,465211,3062665,224312,1104015,3966144,633680,42920,37251,210774
Sahibganj,180473,502406,95079,459614,806105,323896,6782,20516,89205
Seraikela-Kharsawan,144435,861598,61169,346029,1118261,184836,10976,9683,55264
Simdega,105263,457002,60918,204977,591562,138451,4462,7613,28134
West Singhbhum,225695,1150985,96463,474394,1494063,254207,11690,15901,78641
