district,export_credit_target_no,amt,achv_no,amt,achv_pct_amt,education_target_no,amt,achv_no,amt,achv_pct_amt,housing_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,99,227,,,0.00,1535,2804,1235,2343.25,83.57,1237,6533,688,4005.72,61.32
Chatra,66,138,,,0.00,75,145,64,140.39,96.82,25,180,18,141.03,78.35
Deoghar,91,236,,,0.00,528,1043,387,800.28,76.73,498,2601,290,1335.17,51.33
Dhanbad,109,258,,,0.00,2335,4172,1881,3161.30,75.77,3671,17392,3177,13533.06,77.81
Dumka,72,213,,,0.00,110,175,64,142.68,81.53,192,1449,80,687.17,47.42
East Singhbhum,107,255,,,0.00,2876,7982,2353,5803.52,72.71,3509,18490,2446,9160.13,49.54
Garhwa,97,240,,,0.00,95,184,97,189.68,103.09,90,592,76,356.14,60.16
Giridih,112,315,,,0.00,360,671,315,550.95,82.11,182,1528,185,865.99,56.67
Godda,69,219,,,0.00,152,283,131,222.69,78.69,236,2226,107,1097.79,49.32
Gumla,78,180,,,0.00,165,274,260,434.30,158.50,102,732,49,319.01,43.58
Hazaribagh,116,227,,,0.00,493,1123,471,953.71,84.93,668,3942,298,1723.14,43.71
Jamtara,47,144,,,0.00,68,153,273,336.95,220.23,19,264,17,165.94,62.85
Khunti,45,120,,,0.00,69,134,56,116.99,87.30,74,413,40,269.82,65.33
Koderma,48,135,,,0.00,236,393,203,344.38,87.63,249,973,99,544.47,55.96
Latehar,53,174,,,0.00,60,76,97,144.96,190.74,36,232,32,250.84,108.12
Lohardaga,46,101,,,0.00,72,123,55,101.43,82.46,61,387,67,158.86,41.05
Pakur,46,143,,,0.00,52,48,70,97.55,203.24,49,405,24,202.65,50.04
Palamu,106,180,,,0.00,282,572,228,439.92,76.91,195,1403,159,1064.84,75.90
Ramgarh,78,212,,,0.00,396,780,321,633.67,81.24,293,2432,158,1173.75,48.26
Ranchi,187,491,,,0.00,4562,12101,4096,9524.87,78.71,3767,31389,2964,21904.31,69.78
Sahibganj,69,219,,,0.00,131,206,228,340.39,165.24,123,884,51,387.71,43.86
Seraikela-Kharsawan,81,206,,,0.00,804,1092,836,1192.70,109.22,563,3000,425,1888.42,62.95
Simdega,58,105,,,0.00,44,53,33,49.86,94.07,34,196,25,69.65,35.54
West Singhbhum,121,266,,,0.00,469,913,470,985.75,107.97,229,2357,112,1159.20,49.18
