district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,20,25.42,90,91.41,43,37
Chatra,8,3.91,18,26.64,12,11
Deoghar,25,22.26,54,37.06,11,11
Dhanbad,19,15.55,116,70.78,58,47
Dumka,25,21.58,57,38.16,15,15
East Singhbhum,23,31.43,118,81.98,39,31
Garhwa,7,6.69,7,4.40,7,7
Giridih,12,21.53,96,49.84,83,72
Godda,34,56.68,49,79.22,20,16
Gumla,9,5.61,22,11.28,15,14
Hazaribagh,83,89.43,195,193.54,80,73
Jamtara,5,5.76,9,5.87,3,3
Khunti,4,3.61,27,19.93,11,11
Koderma,22,17.74,59,49.07,24,23
Latehar,63,86.27,75,142.78,10,10
Lohardaga,15,8.63,75,67.87,62,56
Pakur,125,190.82,164,252.27,7,6
Palamu,57,74.51,75,97.43,19,19
Ramgarh,11,19.69,60,31.48,51,41
Ranchi,11,6.80,84,41.21,47,40
Sahibganj,137,148.14,161,158.63,95,95
Seraikela-Kharsawan,34,35.81,211,159.02,41,37
Simdega,19,15.91,61,39.58,27,16
West Singhbhum,17,19.91,107,70.14,7,6
