district,farm_credit_target_no,amt,achv_no,amt,achv_pct_amt,crop_loans_out_of_farm_credit_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,73698,57682,39463,37285.64,64.64,54209,33828,18771,14864.06,43.94
Chatra,67909,34191,30874,23376.76,68.37,58197,22984,19639,12566.08,54.67
Deoghar,76127,59230,64134,47286.92,79.84,59209,40124,41546,26429.72,65.87
Dhanbad,70661,53606,48264,46498.72,86.74,37809,20327,13650,15237.07,74.96
Dumka,66623,49707,50555,36357.74,73.14,43671,27009,29592,15210.04,56.31
East Singhbhum,111102,73662,60437,57686.30,78.31,87323,40507,31854,26021.06,64.24
Garhwa,64901,68778,59433,59314.97,86.24,30470,35241,26885,23894.65,67.80
Giridih,109683,57660,66760,51964.40,90.12,84491,29657,23952,16671.68,56.22
Godda,65020,57410,46019,37142.72,64.70,46243,37818,25725,18923.41,50.04
Gumla,45189,29114,20376,19708.55,67.70,40945,22689,14691,10608.14,46.76
Hazaribagh,110887,69138,59961,54523.39,78.86,77552,34395,26291,20347.13,59.16
Jamtara,41824,32559,27826,21200.07,65.11,37847,26717,22475,15027.49,56.25
Khunti,26799,16533,18529,12959.89,78.39,23142,10573,9047,5615.77,53.12
Koderma,54955,22334,23051,17741.95,79.44,39566,9702,8748,5309.00,54.72
Latehar,26276,24029,20767,21094.58,87.79,20371,16661,13781,10446.96,62.70
Lohardaga,38246,15193,12866,11749.87,77.34,33331,11437,8946,7487.27,65.46
Pakur,32689,28682,23138,19090.93,66.56,24280,17544,11392,8138.84,46.39
Palamu,90008,90630,86778,81321.03,89.73,45232,49892,39463,35594.47,71.34
Ramgarh,38543,22698,26289,19396.85,85.46,26690,10257,9400,5787.90,56.43
Ranchi,1100977,402954,566915,279443.88,69.35,92137,50517,30059,25575.81,50.63
Sahibganj,48305,49707,34423,31750.97,63.88,34427,30349,19524,15811.57,52.10
Seraikela-Kharsawan,152588,59026,75879,43353.94,73.45,63727,21838,19312,11857.99,54.30
Simdega,29477,13344,10980,9962.32,74.66,22824,7184,6882,3994.60,55.61
West Singhbhum,76191,40635,34387,28087.45,69.12,65683,26750,24983,13670.15,51.10
