district,social_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,renewable_energy_target_no,amt,achv_no,amt,achv_pct_amt,others_target_no,amt,achv_no,amt,total_priority_sector_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,72,472,2.00,2,0.39,68,363,1,0.25,0.07,30108,14210,21532.00,12136,132820,284175,89503.00,311248,109.53
Chatra,,,,,,,,,,,6397,2992,3489.00,1926,83758,64751,43172.00,57039,88.09
Deoghar,36,108,7.00,14,13.28,68,682,1,1.00,0.15,53739,32241,16087.00,8066,158289,225038,95837.00,202751,90.10
Dhanbad,72,536,8.00,41,7.68,,,,,,46543,27516,40890.00,23115,153568,461098,134130.00,516163,111.94
Dumka,36,26,5.00,2,7.69,683,836,17,23.08,2.76,17917,10265,12626.00,6323,97179,119654,71836.00,107936,90.21
East Singhbhum,84,764,9.00,51,6.64,,,,,,55612,31253,43807.00,24225,206909,717203,151777.00,827874,115.43
Garhwa,12,6,16.00,8,126.33,,,,,,16856,8990,8673.00,4655,86623,98638,73195.00,88716,89.94
Giridih,72,630,1.00,1,0.10,,,,,,26642,14562,24317.00,13694,158668,179305,117264.00,215203,120.02
Godda,,,1.00,1,,136,190,,,0.00,21015,9797,6502.00,3951,97040,103941,62011.00,82799,79.66
Gumla,,,2.00,0,,,,1,10.00,,5110,2365,4752.00,2483,57801,57325,31419.00,53247,92.89
Hazaribagh,36,30,27.00,33,109.90,,,,,,27149,13638,14888.00,9166,159852,221968,98136.00,226121,101.87
Jamtara,,,,,,,,,,,5409,2851,2852.00,1124,52086,50355,36154.00,39095,77.64
Khunti,96,216,1.00,2,0.69,,,,,,2935,1653,3665.00,1755,35117,36944,26461.00,34049,92.16
Koderma,12,64,1.00,0,0.63,,,,,,9090,4588,7519.00,4311,75412,82892,44268.00,85453,103.09
Latehar,,,,,,,,,,,8127,3500,4983.00,2302,38297,43249,31093.00,42474,98.21
Lohardaga,,,,,,,,,,,7132,3061,5660.00,2974,51421,41606,24005.00,42172,101.36
Pakur,12,8,9.00,5,57.88,,,,,,14643,6314,18684.00,10088,53496,64004,52159.00,62008,96.88
Palamu,84,270,2.00,22,8.04,,,,,,44547,22721,17639.00,11422,145998,166374,115436.00,153810,92.45
Ramgarh,60,426,4.00,33,7.76,68,411,1,6.00,1.46,11369,6186,11105.00,6674,63184,118987,49965.00,130050,109.30
Ranchi,178,1362,1641.00,249,18.30,136,467,1,1.00,0.21,40017,27745,37985.00,29917,1223609,1246781,691362.00,1325277,106.30
Sahibganj,12,8,,,0.00,1640,2051,23,32.00,1.56,12362,6570,13413.00,7998,69449,80114,56453.00,62262,77.72
Seraikela-Kharsawan,12,2,1.00,0,21.95,,,,,,10888,6295,8692.00,6485,188533,200673,105229.00,214739,107.01
Simdega,,,1.00,0,,,,,,,5824,2561,3283.00,1445,39922,30184,18511.00,26834,88.90
West Singhbhum,12,72,2.00,1,1.11,,,,,,20341,10126,13782.00,7062,107748,103242,59408.00,90186,87.35
