district,number_of_operative_casa,number_of_aadhaar_seeded_casa,pct_of_casa_aadhaar_seeding,number_of_authenticated_casa,pct_casa_authentication,col_7
Bokaro,2444900,1750121,71.58,1659491,67.88,
Chatra,1131363,886990,78.40,712985,63.02,
Deoghar,1942973,1396337,71.87,1133387,58.33,
Dhanbad,3210649,2397466,74.67,2242120,69.83,
Dumka,1416019,958662,67.70,687235,48.53,
East Singhbhum,3212978,2251000,70.06,2125934,66.17,
Garhwa,1424072,1033010,72.54,709921,49.85,
Giridih,2739796,2077862,75.84,1887423,68.89,
Godda,1369140,958763,70.03,709660,51.83,
Gumla,1041179,772973,74.24,746657,71.71,
Hazaribagh,2334642,1692428,72.49,1544362,66.15,
Jamtara,809080,616338,76.18,468065,57.85,
Khunti,628668,457773,72.82,452125,71.92,
Koderma,979645,775751,79.19,665908,67.97,
Latehar,867784,628289,72.40,453360,52.24,
Lohardaga,633015,473275,74.77,464417,73.37,
Pakur,1006757,761187,75.61,630072,62.58,
Palamu,2247476,1650312,73.43,1174427,52.26,
Ramgarh,1183813,866925,73.23,790143,66.75,
Ranchi,4970484,3594438,72.32,2927394,58.90,
Sahibganj,1303279,994641,76.32,735270,56.42,
Seraikela-Kharsawan,1155237,912698,79.01,802757,69.49,
Simdega,640308,497629,77.72,479676,74.91,
West Singhbhum,1714669,1233270,71.92,1109588,64.71,
