district,total_disbursement_during_the_quarter_savings_linked_no,amt,credit_linked_no,amt,total_disbursement_during_the_fy_2023_24_savings_linked_no,amt,credit_linked_no,amt,outstanding_at_the_quarter_end_no,amt,outstanding_npa_at_the_quarter_end_no,amt,loans_to_jlgs_disbursement_no,amt,outstanding_no,amt,col_18
Bokaro,3531,1910,653,1765,4835,2438,4813,10430,22231,42851,617,354,17468,23002,29450,24531,
Chatra,3281,2452,493,1490,3626,2536,2624,5663,15237,27951,552,348,6959,10150,10215,8941,
Deoghar,1609,717,387,856,2863,1745,4646,7351,12224,19095,1180,1084,11333,11550,15562,9351,
Dhanbad,1933,975,668,2977,3316,1397,4398,10057,16976,31106,781,422,17790,23069,54359,29401,
Dumka,3805,1743,386,712,4756,2005,4048,6730,12767,23053,495,438,18491,14551,25558,15313,
East Singhbhum,1303,592,863,3325,2840,881,4181,12722,25460,59935,949,691,24852,29426,50593,32484,
Garhwa,1502,972,359,697,2622,1090,2386,4132,12370,21676,141,97,26261,32964,38659,29833,
Giridih,3460,2680,674,2015,5630,4460,5752,12159,29048,54273,1245,807,49681,72999,62895,64906,
Godda,5523,3537,284,922,6395,3885,3768,7292,12087,23779,364,282,16903,24689,23446,23917,
Gumla,408,123,289,709,1247,590,2138,4826,12737,24814,895,643,6148,11459,6089,8737,
Hazaribagh,5283,2979,478,1791,6066,3140,3699,8375,24925,51272,687,414,23976,30521,38454,29429,
Jamtara,2813,1137,310,749,3244,1568,2599,3979,7348,11596,263,323,961,340,665,200,
Khunti,1768,1226,239,562,2753,1497,1494,3079,8537,18008,202,206,3878,3813,9226,5174,
Koderma,2988,1160,363,1416,3401,1214,2558,7052,10902,26514,329,270,11211,14633,22261,14790,
Latehar,2243,2449,270,525,2600,2600,2141,3898,10376,20167,237,140,6993,12507,8192,10164,
Lohardaga,131,37,183,434,474,118,937,2407,8736,18980,588,711,4540,3877,4368,3043,
Pakur,4439,3628,355,782,5062,3905,2696,4462,11104,22889,334,249,11831,26479,14948,23761,
Palamu,3546,2172,316,1008,4211,2262,2424,4690,19505,33607,441,417,39329,45801,58570,42106,
Ramgarh,1584,697,333,1100,2128,1012,1378,3852,11476,26056,315,253,12886,19529,22151,19573,
Ranchi,1588,564,686,2964,3918,1538,4355,16832,34224,82544,1327,1683,24839,33026,63887,37446,
Sahibganj,2997,2086,402,891,4073,2391,2767,4751,10780,19136,291,166,13042,24197,17177,21474,
Seraikela-Kharsawan,338,96,311,1042,799,230,1477,3870,14858,32853,792,710,4186,5513,8446,6069,
Simdega,322,152,191,394,840,234,942,2275,8804,15940,365,253,2792,1175,2919,979,
West Singhbhum,462,149,404,1066,1064,262,2202,4746,18069,47048,404,370,7491,10419,8082,9441,
