district,target_no,amt,agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_no,amt,total_nps_no,amt,achv_pct_amt
Bokaro,65372,365602,58,85.31,45,612.26,1085,17683.17,9285,46497.58,41592,269778.33,52065,334656.64,91.54
Chatra,8874,31886,2,2.71,,,32,712.09,1798,9381.29,5866,18162.95,7698,28259.04,88.63
Deoghar,41475,116116,79,931.79,25,366.35,434,8245.88,4200,18215.03,17043,60158.38,21781,87917.44,75.72
Dhanbad,125704,511551,59,173.03,55,723.40,1837,23145.63,15315,92806.37,76519,333863.83,93785,450712.26,88.11
Dumka,16272,52058,30,67.88,,,67,1501.15,2388,8424.64,9517,34094.06,12002,44087.72,84.69
East Singhbhum,177351,797017,98,648.31,577,6196.20,3333,58295.46,18393,84466.01,145814,725516.98,168215,875122.96,109.80
Garhwa,12778,35491,8,21.11,4,50.85,49,841.79,1616,6511.78,7502,22463.55,9179,29889.09,84.22
Giridih,31993,150218,49,77.93,13,148.75,248,5130.39,4334,16475.37,23088,106234.40,27732,128066.84,85.25
Godda,11705,41400,82,149.62,3,30.69,101,1428.21,1839,6596.43,8837,32183.52,10862,40388.47,97.56
Gumla,6269,24677,6,7.94,2,36.18,70,1434.46,1314,5324.90,4937,17161.73,6329,23965.22,97.12
Hazaribagh,44535,152335,18,23.96,28,434.24,552,9611.84,5479,28905.05,34517,101843.67,40594,140818.77,92.44
Jamtara,7515,23316,35,65.21,2,43.23,41,617.77,1091,3856.49,4933,16500.25,6102,21082.96,90.42
Khunti,5869,27551,17,10.94,3,16.02,57,961.31,822,3355.55,4167,18967.82,5066,23311.65,84.61
Koderma,17972,42678,7,34.91,7,124.99,125,2031.34,1545,5697.85,11771,36739.04,13455,44628.13,104.57
Latehar,7102,27856,11,208.83,2,19.51,23,605.30,1188,5122.58,7042,21631.00,8266,27587.22,99.04
Lohardaga,5315,20322,4,0.06,,,71,1104.16,842,3577.11,4085,13237.42,5002,17918.75,88.17
Pakur,11893,25563,7,34.76,1,19.76,67,1008.67,864,2681.35,11945,22544.53,12884,26289.07,102.84
Palamu,27581,88479,22,49.14,5,25.54,141,2645.68,3482,13180.89,18885,56117.52,22535,72018.77,81.40
Ramgarh,21865,131702,7,13.65,16,324.29,466,8237.35,4970,30812.63,15551,74154.03,21010,113541.95,86.21
Ranchi,265681,1547372,106,40553.87,365,4529.85,4584,108683.20,25896,137761.00,197231,1897453.27,228182,2188981.19,141.46
Sahibganj,9495,35404,34,68.53,1,3.04,63,970.92,1616,5867.53,7574,24088.05,9288,30998.06,87.56
Seraikela-Kharsawan,27547,96009,5,8.24,8,143.73,438,7011.75,3591,14308.75,19793,66868.96,23835,88341.43,92.01
Simdega,4131,12713,6,5.28,4,101.14,27,335.99,632,2841.14,2757,8425.86,3426,11709.41,92.11
West Singhbhum,19156,137684,23,105.21,18,191.65,180,4053.67,3261,13339.88,11803,273345.96,15285,291036.37,211.38
