district,total_advance_target_no,amt,total_advance_no,amt,achv_pct_amt,col_7
Bokaro,198192,649777,141568,645904.18,99.40,
Chatra,92632,96637,50870,85298.14,88.27,
Deoghar,199764,341154,117618,290668.10,85.20,
Dhanbad,279272,972649,227915,966875.54,99.41,
Dumka,113451,171712,83838,152024.03,88.53,
East Singhbhum,384260,1514220,319992,1702996.92,112.47,
Garhwa,99401,134129,82374,118605.43,88.43,
Giridih,190661,329523,144996,343269.57,104.17,
Godda,108745,145341,72873,123187.28,84.76,
Gumla,64070,82002,37748,77212.49,94.16,
Hazaribagh,204387,374303,138730,366939.78,98.03,
Jamtara,59601,73671,42256,60178.39,81.69,
Khunti,40986,64495,31527,57360.58,88.94,
Koderma,93384,125570,57723,130081.16,103.59,
Latehar,45399,71105,39359,70061.49,98.53,
Lohardaga,56736,61928,29007,60090.44,97.03,
Pakur,65389,89567,65043,88296.79,98.58,
Palamu,173579,254853,137971,225828.87,88.61,
Ramgarh,85049,250689,70975,243592.31,97.17,
Ranchi,1489290,2794153,919544,3514257.76,125.77,
Sahibganj,78944,115518,65741,93260.27,80.73,
Seraikela-Kharsawan,216080,296682,129064,303080.85,102.16,
Simdega,44053,42897,21937,38543.10,89.85,
West Singhbhum,126904,240926,74693,381222.44,158.23,
