district,rural_deposit,as_on_31st_march_2024_[amount_in_lakh]_advances,cd_ratio,semi_urban_deposit,advances,cd_ratio,urban_deposit,advances,cd_ratio,total_deposit,advances,cd_ratio,col_14
Bokaro,416763.76,121981.10,29.27,495867.60,153090.06,30.87,1447377.39,601235.31,41.54,2360008.75,876306.47,37.13,
Chatra,201876.12,70622.00,34.98,259808.97,64465.40,24.81,1071.13,5229.24,488.20,462756.22,140316.64,30.32,
Deoghar,269168.19,98775.85,36.70,104029.18,41950.44,40.33,670179.36,251429.92,37.52,1043376.72,392156.22,37.59,
Dhanbad,501620.72,115144.16,22.95,418788.03,153758.08,36.72,3144403.28,1182612.12,37.61,4064812.03,1451514.36,35.71,
Dumka,259274.29,89774.02,34.63,327940.72,121224.92,36.97,5304.01,3259.66,61.46,592519.01,214258.60,36.16,
East Singhbhum,314080.83,130590.70,41.58,638646.33,186343.53,29.18,3412316.87,1849998.21,54.22,4365044.03,2166932.44,49.64,
Garhwa,163241.12,74135.47,45.41,209966.55,91011.41,43.35,913.68,2032.28,222.43,374121.36,167179.17,44.69,
Giridih,630515.68,190304.57,30.18,52637.51,11980.05,22.76,379891.21,255511.35,67.26,1063044.40,457795.98,43.06,
Godda,272924.20,100627.50,36.87,271328.08,93716.36,34.54,790.81,2493.52,315.31,545043.09,196837.38,36.11,
Gumla,163339.15,47929.51,29.34,235055.84,76942.17,32.73,2656.33,3320.26,124.99,401051.32,128191.94,31.96,
Hazaribagh,420239.34,151085.77,35.95,162379.96,91253.54,56.20,750440.41,359680.27,47.93,1333059.71,602019.59,45.16,
Jamtara,136104.04,43838.05,32.21,177734.49,51402.85,28.92,,1469.44,,313838.53,96710.34,30.82,
Khunti,105732.76,45890.92,43.40,123910.87,52062.37,42.02,3252.17,2601.55,79.99,232895.80,100554.84,43.18,
Koderma,164772.56,54668.75,33.18,295016.25,129272.57,43.82,1955.39,8390.92,429.12,461744.20,192332.24,41.65,
Latehar,117368.61,48858.06,41.63,150530.60,61422.71,40.80,,2415.23,,267899.21,112696.00,42.07,
Lohardaga,66574.65,35280.11,52.99,144779.18,62770.00,43.36,1368.74,2153.25,157.32,212722.57,100203.36,47.11,
Pakur,104843.31,52801.53,50.36,167354.46,81065.31,48.44,,2321.85,,272197.76,136188.69,50.03,
Palamu,294618.91,131704.58,44.70,566787.12,203171.09,35.85,,7683.75,,861406.02,342559.42,39.77,
Ramgarh,241768.52,87291.93,36.11,707035.95,286146.55,40.47,1031.90,16446.67,1593.82,949836.37,389885.16,41.05,
Ranchi,657577.55,497482.90,75.65,328314.58,132795.33,40.45,8311649.79,3419794.57,41.14,9297541.92,4050072.81,43.56,
Sahibganj,128691.67,51472.22,40.00,255983.02,94774.44,37.02,,2462.49,,384674.70,148709.14,38.66,
Seraikela-Kharsawan,317562.06,174030.74,54.80,91291.53,37920.85,41.54,274830.92,226076.75,82.26,683684.51,438028.34,64.07,
Simdega,98516.21,25471.85,25.86,112202.51,35888.44,31.99,,1354.07,,210718.73,62714.36,29.76,
West Singhbhum,220783.21,89523.40,40.55,3040254.91,280265.42,9.22,101437.32,44023.67,43.40,3362475.45,413812.49,12.31,
