district,target,total_application_received,sanctioned_appications,sanction_pct,application_disbursed,amt_disbursed_in_cr,disb_pct_of_target,pending_for_disb,rejected_application
Bokaro,161,324,63,39.13,34,1.75,21.12,29,261
Chatra,44,715,54,122.73,37,1.53,84.09,17,661
Deoghar,107,268,47,43.93,20,0.99,18.69,27,221
Dhanbad,227,416,92,40.53,67,2.20,29.52,25,324
Dumka,88,501,73,82.95,51,1.47,57.95,22,428
Garhwa,67,201,40,59.70,22,1.67,32.84,18,161
Giridih,129,459,69,53.49,53,2.48,41.09,16,390
Godda,71,398,71,100.00,47,2.36,66.20,24,327
Gumla,53,290,59,111.32,42,1.04,79.25,17,231
Hazaribagh,135,413,91,67.41,71,2.82,52.59,20,322
Jamtara,50,271,35,70.00,21,0.40,42.00,14,236
Khunti,29,75,27,93.10,16,0.83,55.17,11,48
Koderma,47,246,38,80.85,38,2.27,80.85,0,208
Latehar,31,254,44,141.94,38,1.77,122.58,6,210
Lohardaga,26,111,36,138.46,34,1.38,130.77,2,75
Pakur,42,133,27,64.29,21,0.71,50.00,6,106
Palamu,95,355,48,50.53,35,1.57,36.84,13,307
Ramgarh,90,233,36,40.00,34,1.69,37.78,2,197
Ranchi,392,293,105,26.79,76,5.54,19.39,29,188
Sahibganj,54,422,62,114.81,37,1.54,68.52,25,360
Seraikela-Kharsawan,94,255,69,73.40,45,1.24,47.87,24,186
Simdega,30,132,51,170.00,44,0.76,146.67,7,81
West Singhbhum,100,333,43,43.00,34,0.78,34.00,9,290
