district,number_of_pmjdy_accounts_rural,urban,male,female,total,zero_balance,pct_of_zero_bal_a_c,deposits_held_in_the_a_c_in_lakh,overdraft_under_pmjdy_no_of_acc,o_s,rupay_card_issued,rupay_card_pct,rupay_card_activated,aadhaar_seeded,aadhaar_seeding_pct,col_17
Bokaro,571810,253794,345753,479851,825604,58229,7.05,37828.01,2388,3.80,625006,75.70,290546,720403,87.26,
Chatra,655218,21084,300648,375654,676302,40724,6.02,35394.14,397,5.00,454995,67.28,189255,591471,87.46,
Deoghar,830160,244235,484375,590020,1074395,70855,6.59,54543.91,740,6.23,725643,67.54,191963,909101,84.62,
Dhanbad,824564,353646,499364,678846,1178210,69069,5.86,48551.80,4250,10.14,900383,76.42,409356,1052989,89.37,
Dumka,783644,65587,365863,483368,849231,70231,8.27,40039.42,853,0.87,543360,63.98,128070,702957,82.78,
East Singhbhum,528900,306225,348108,487017,835125,53358,6.39,37747.58,1837,10.62,655756,78.52,327620,738495,88.43,
Garhwa,774476,117400,414053,477823,891876,75184,8.43,37471.20,203,0.15,561160,62.92,210120,732664,82.15,
Giridih,1268834,126752,585897,809689,1395586,96507,6.92,72844.01,816,2.16,951514,68.18,466799,1238490,88.74,
Godda,781775,55368,367495,469648,837143,74448,8.89,33041.39,796,1.29,537127,64.16,178550,679894,81.22,
Gumla,517649,73858,255926,335581,591507,50634,8.56,36745.24,238,3.01,388114,65.61,193442,522929,88.41,
Hazaribagh,779201,185435,396008,568628,964636,83012,8.61,49743.97,1809,7.35,652508,67.64,288683,850111,88.13,
Jamtara,458634,31932,222182,268384,490566,34588,7.05,20823.13,669,1.59,311791,63.56,98550,422954,86.22,
Khunti,219590,12036,104294,127332,231626,20856,9.00,12600.98,745,0.99,120989,52.23,73690,207942,89.77,
Koderma,346746,38596,159979,225363,385342,22093,5.73,22763.51,482,6.75,299100,77.62,153076,351453,91.21,
Latehar,542445,47628,272690,317383,590073,47180,8.00,26398.39,260,3.17,374666,63.49,112106,499733,84.69,
Lohardaga,281768,16130,127916,169982,297898,31957,10.73,15101.76,286,0.40,187034,62.78,100857,277939,93.30,
Pakur,625836,57741,306767,376810,683577,51083,7.47,19767.08,342,1.26,462035,67.59,121637,593427,86.81,
Palamu,1056326,271001,608952,718375,1327327,125076,9.42,54731.99,180,0.91,924483,69.65,251518,1096644,82.62,
Ramgarh,295686,32735,136020,192401,328421,26363,8.03,19926.48,1944,7.62,239892,73.04,119744,304689,92.77,
Ranchi,1011049,415981,622165,804864,1427029,114407,8.02,70281.74,9453,20.66,854305,59.87,345718,1177004,82.48,
Sahibganj,706054,239589,430478,515165,945643,65775,6.96,31642.06,616,1.51,629512,66.57,139893,801845,84.79,
Simdega,332180,12457,149446,195191,344637,17884,5.19,20945.96,885,0.37,257212,74.63,158529,321363,93.25,
West Singhbhum,650684,121176,345108,426752,771860,47006,6.09,39116.99,5695,8.23,550730,71.35,228524,686871,88.99,
