district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastria_ns_no,amt,jains_no,amt,total_no,amt,col_16
Bokaro,1920,3586.03,33932,28812.04,934,814.77,435,1444.07,2,0.45,164,608.06,37387,35265.42,
Chatra,2134,2348.82,7115,6486.60,4,5.86,158741,151.86,3,16.06,24,108.96,168021,9118.15,
Deoghar,4736,3959.80,32011,15642.47,152,228.14,247276,287.08,15,5.59,17,49.11,284207,20172.19,
Dhanbad,1895,3889.89,182621,58402.63,1184,598.24,1135098,6146.73,,,88,433.68,1320886,69471.16,
Dumka,5403,5970.61,10924,8586.26,42,55.81,447891,65.49,5,18.48,11,5.25,464276,14701.90,
East Singhbhum,5499,10042.90,80007,50918.58,1253,1324.18,3782001,18938.70,48,40.34,121,744.58,3868929,82009.28,
Garhwa,5440,6034.88,15139,8031.96,22,9.69,38,40.40,,,23,9.49,20662,14126.41,
Giridih,3121,2903.96,58223,31987.72,92,173.69,132,1628.83,3,0.97,118,305.03,61689,37000.21,
Godda,3644,3581.57,14982,14244.12,48,35.39,89,58.16,,,15,6.19,18778,17925.43,
Gumla,7300,7590.73,7201,5633.30,5,6.34,70,145.89,1,0.21,6,36.53,14583,13413.00,
Hazaribagh,3563,5110.80,65092,34176.94,317,243.00,263,1315.22,16,6.69,161,550.82,69412,41403.47,
Jamtara,3060,2367.37,11324,7266.15,9,2.71,25,80.65,,,9,20.24,14427,9737.13,
Khunti,5152,5756.95,2344,2560.42,70,46.37,86,191.51,4,7.54,21,96.96,7677,8659.75,
Koderma,521,994.28,35463,9093.24,16,12.48,136,808.16,1,0.44,61,195.04,36198,11103.64,
Latehar,2988,4518.76,6043,5299.51,20,22.02,20,45.96,,,13,64.99,9084,9951.24,
Lohardaga,1639,2518.88,13818,10773.57,6,22.28,18,20.01,1,8.06,21,14.19,15503,13356.97,
Pakur,2672,2806.27,35054,26686.92,5,6.36,96,179.13,2,3.76,7,4.35,37836,29686.80,
Palamu,8177,9259.37,19692,13401.48,13,18.71,65,276.84,4,2.60,48,124.38,27999,23083.37,
Ramgarh,1014,2510.69,12939,16913.38,120,170.81,616,2068.66,,,56,383.88,14745,22047.42,
Ranchi,38156,56659.02,397495,167616.30,1486,1796.53,1565797,8029.49,15,18.90,318,2883.66,2003267,237003.92,
Sahibganj,3427,3637.58,19947,16918.66,68,218.44,98,81.79,1,0.50,16,13.68,23557,20870.65,
Seraikela-Kharsawan,2781,2942.01,23426,9707.50,120,222.25,327,702.69,3,120.60,31,16.73,26688,13711.77,
Simdega,10635,10226.53,2191,2140.91,5,1.36,27,30.09,1,0.46,14,38.56,12873,12437.90,
West Singhbhum,6206,6783.59,7990,9358.94,221,465.68,551,2204.29,15,37.60,76,141.90,15059,18992.00,
