district,as_on_31st_march_2024_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_no,amt,pct_of_msme_to_total_advances,col_13
Bokaro,45716,160384.05,3005,72089.80,221,41022.88,144,320.37,49086,273817.10,31.25,
Chatra,8214,24796.69,319,4158.32,28,397.13,2,1.31,8563,29353.45,20.92,
Deoghar,20492,70215.55,2772,30319.71,133,16229.15,77,86.53,23474,116850.93,29.80,
Dhanbad,65508,239609.04,4815,156619.04,417,50412.30,171,3254.90,70911,449895.28,30.99,
Dumka,13018,30608.52,2494,18540.75,95,5512.37,57,209.32,15664,54870.97,25.61,
East Singhbhum,66083,324007.97,7392,244848.35,1971,159524.30,138,395.19,75584,728775.82,33.63,
Garhwa,6505,18166.94,1438,4548.32,11,384.44,60,56.72,8014,23156.41,13.85,
Giridih,36177,92380.93,1726,30011.97,91,11201.22,20,57.22,38014,133651.35,29.19,
Godda,12827,29628.74,1031,7361.68,19,1109.16,76,47.65,13953,38147.23,19.38,
Gumla,7626,22254.08,289,3982.77,16,84.52,2,0.03,7933,26321.39,20.53,
Hazaribagh,34928,135476.45,2056,40141.69,136,10432.74,33,126.54,37153,186177.43,30.93,
Jamtara,6254,12214.46,637,3188.09,9,28.01,11,24.58,6911,15455.15,15.98,
Khunti,5468,13695.14,448,2795.15,3,230.68,12,24.16,5931,16745.12,16.65,
Koderma,18041,52188.43,939,10981.51,46,1150.11,10,29.84,19036,64349.89,33.46,
Latehar,6085,13377.64,613,2820.44,20,404.01,11,69.54,6729,16671.63,14.79,
Lohardaga,6476,17417.15,291,4605.76,19,723.59,16,36.98,6802,22783.49,22.74,
Pakur,13499,26177.11,646,8098.15,65,1395.43,10,6.58,14220,35677.27,26.20,
Palamu,14705,42890.78,834,13025.42,54,2653.54,30,49.77,15623,58619.52,17.11,
Ramgarh,21249,69969.55,1187,30921.93,98,6093.16,32,65.20,22566,107049.84,27.46,
Ranchi,149267,494172.87,7524,286875.69,828,157004.34,197,580.42,157816,938633.33,23.18,
Sahibganj,13793,23325.68,753,3364.98,29,214.10,6,12.75,14581,26917.50,18.10,
Seraikela-Kharsawan,32858,66119.82,1093,56649.49,248,41514.12,91,242.57,34290,164526.00,37.56,
Simdega,4981,11986.22,280,1272.00,5,9.14,5,1.06,5271,13268.42,21.16,
West Singhbhum,17917,43223.97,1173,18015.65,110,4647.12,94,107.97,19294,65994.72,15.95,
