district,total_npa_under_non_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,others_no,amt,total_non_psl_npa_no,amt,total_npa_psl_npa_+_non_psl_npa_no,amt,total_advances_amt,npa_pct,col_16
Bokaro,10,53.96,48,673.17,2,11.30,10929,7588.67,10989,8327.10,44575,52136.85,876306.47,5.95,
Chatra,,,3,0.66,,,1047,554.09,1050,554.75,25009,16485.05,140316.64,11.75,
Deoghar,45,13.83,7,90.11,2,7.86,2598,1655.18,2652,1766.98,33558,20268.67,392156.22,5.17,
Dhanbad,8,73.07,101,886.80,3,7.78,13359,12943.95,13471,13911.60,54195,54848.94,1451514.36,3.78,
Dumka,4,,1,13.38,,,2272,986.21,2277,999.59,28526,13514.33,214258.60,6.31,
East Singhbhum,6,51.64,169,2551.69,7,53.55,12321,22141.97,12503,24798.84,52142,96410.80,2166932.44,4.45,
Garhwa,3,,1,27.00,,,827,568.15,831,595.15,18718,10965.87,167179.17,6.56,
Giridih,1,0.11,17,78.63,2,2.98,3978,1924.44,3998,2006.16,44444,29325.51,457795.98,6.41,
Godda,1,,1,,,,1300,1095.60,1302,1095.60,22111,13240.29,196837.38,6.73,
Gumla,290,137.21,2,32.82,,,846,485.43,1138,655.45,29650,15439.30,128191.94,12.04,
Hazaribagh,3,3.88,67,504.71,5,16.53,4299,3121.06,4374,3646.18,46733,43744.81,602019.59,7.27,
Jamtara,1,,1,,,,799,723.30,801,723.30,13490,6602.79,96710.34,6.83,
Khunti,49,19.12,1,8.75,1,0.40,448,544.54,499,572.80,10973,6832.27,100554.84,6.79,
Koderma,2,0.56,11,105.84,,,2476,1067.95,2489,1174.34,23064,18211.78,192332.24,9.47,
Latehar,,,3,26.79,,,469,518.62,472,545.42,8955,5379.13,112696.00,4.77,
Lohardaga,,,4,173.65,,,801,670.71,805,844.36,18817,13323.21,100203.36,13.30,
Pakur,,,3,42.74,,,2037,878.35,2040,921.10,14676,7882.31,136188.69,5.79,
Palamu,4,0.30,4,40.96,1,1.01,2463,2253.95,2472,2296.21,30084,22370.74,342559.42,6.53,
Ramgarh,30,12.67,11,142.31,1,0.23,3048,4738.46,3090,4893.66,21102,22136.32,389885.16,5.68,
Ranchi,39,722.42,203,3594.16,11,71.27,19518,63803.51,19771,68191.35,78141,210139.70,4050072.81,5.19,
Sahibganj,5,3.91,9,1.30,,,1329,1162.43,1343,1167.64,17797,11444.61,148709.14,7.70,
Seraikela-Kharsawan,1,0.15,16,161.53,,,3506,1514.10,3523,1675.78,25469,21477.43,438028.34,4.90,
Simdega,,,,,,,922,474.80,922,474.80,13289,7416.06,62714.36,11.83,
West Singhbhum,5,74.97,12,83.75,,,1635,1753.89,1652,1912.61,29349,25281.44,413812.49,6.11,
