district,cd_ratio,no_of_brs,total_deposit,total_advance
Dhalai,96,47,118140.25,113593.71
Gomati,63,64,223149.44,140145.8
Khowai,52,40,173824.4,89849.31
North Tripura,62,48,160603.68,98959.94
Sepahijala,68,61,198370.88,134706.39
South Tripura,57,60,225192.33,128771.86
Unakoti,64,34,121878.25,77875.68
West Tripura,47,196,1927583.81,904562.39
