district,Annexure No.
"RSETI - PNB - Ambassa ,Dhalai",
"RSETI - PNB -Udaipur,Gomati",
"RSETI - SBI -Kumarghat, Unakoti.",
"RSETI - TGB -SEPAHIJALA, Sepahijala",
"RUDSETI, AGARTALA (Promoted by Syndicate & Canara Bank), West Tripura",
