district,pmjdy_accounts_population_no_of_pmjdy_no_of_pmjdy_no_of_pmjdy_per_one_lakh_sl_district_census_accounts_as_on_accoun,total_women_pmjdy_women_accounts_per_no_of_women_no_of_women_no_of_women
Dhalai,100511,49364
Gomati,98663,48781
Khowai,85611,45488
North Tripura,117125,60012
Sepahijala,84700,44104
South Tripura,123903,60735
Unakoti,76391,43802
West Tripura,224370,112702
