District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Ayodhya,52664.0,181.63,180.51,24866.0,302.38,298.29,1730.0,144.24
Ballia,84519.0,304.09,302.23,39539.0,397.6,389.51,109.63,
Balrampur,16787.0,55.22,54.47,4108.0,56.62,52.13,506.0,177.72
Banda,30227.0,106.95,106.27,12630.0,146.54,144.51,59.45,
Barabanki,19725.0,62.24,61.54,11715.0,190.01,182.55,1382.0,110.31
Bareilly,83055.0,285.62,282.04,32703.0,356.63,353.02,2184.0,174.67
Basti,67231.0,234.0,232.89,22855.0,238.21,1229.0,96.41,94.77
Bhadohi,36877.0,131.85,130.14,19251.0,216.24,213.34,718.0,56.86
Bijnor,98444.0,376.68,371.28,40082.0,366.52,355.59,1942.0,150.9
Budaun,35675.0,124.5,122.11,12130.0,130.37,123.76,1075.0,83.4
Bulandshahr,81979.0,306.48,303.94,36931.0,352.38,344.92,1719.0,136.63
Chandauli,48949.0,174.89,159.51,20949.0,216.86,213.85,757.0,61.88
Chitrakoot,26258.0,94.66,93.86,9384.0,100.53,99.75,497.0,35.42
Deoria,112214.0,400.88,399.32,47913.0,460.21,448.83,1922.0,160.1
Etah,20849.0,66.41,65.89,7912.0,101.57,100.15,672.0,53.0
Etawah,7607.0,22.93,22.13,6373.0,83.57,854.0,69.71,
Farrukhabad,11485.0,34.53,33.61,6465.0,87.38,83.93,800.0,62.3
Fatehpur,19285.0,68.92,68.02,11474.0,159.36,158.56,1000.0,81.22
Firozabad,50100.0,167.58,165.78,21344.0,208.52,206.03,1009.0,82.85
Gautam Buddha Nagar,13973.0,50.99,49.89,6833.0,121.14,116.51,2645.0,1690.9
Ghaziabad,56913.0,168.85,164.66,29314.0,320.87,314.18,3448.0,272.58
Ghazipur,73584.0,268.6,265.58,31404.0,343.21,338.03,1534.0,124.62
Gonda,32128.0,112.27,11018.0,145.89,139.24,1433.0,107.39,
Gorakhpur,242271.0,875.98,872.27,100658.0,930.26,924.35,3891.0,323.39
Hamirpur,20110.0,72.86,72.77,3986.0,56.72,55.89,349.0,28.56
Hapur,44928.0,162.81,160.88,23598.0,217.68,215.4,809.0,63.21
Hardoi,23827.0,82.02,80.79,6824.0,134.57,128.59,1518.0,120.78
Hathras,27201.0,98.89,98.02,14850.0,144.62,142.55,747.0,60.93
Jalaun,22417.0,75.78,4730.0,68.31,,,,
Jaunpur,99758.0,381.3,356.27,35940.0,375.41,370.96,1898.0,156.89
Jhansi,72868.0,237.99,236.05,19906.0,202.92,196.59,1220.0,98.05
Kannauj,14394.0,52.48,51.54,11851.0,141.15,137.04,1160.0,84.0
Kanpur Dehat,15693.0,57.93,57.21,4841.0,83.0,81.56,583.0,48.92
Kanpur Nagar,47065.0,146.77,140.51,29574.0,406.18,399.23,4173.0,349.42
Kasganj,9241.0,28.74,28.09,2008.0,39.52,38.73,475.0,38.29
Kaushambi,24877.0,87.84,86.73,8864.0,114.25,542.0,,
Kheri,36174.0,123.42,121.98,11879.0,149.43,146.82,1029.0,77.45
Kushi Nagar,180490.0,641.66,639.24,63921.0,533.19,1306.0,,
Lalitpur,6301.0,18.01,17.66,2096.0,37.02,523.0,37.51,34.1
Mahoba,20286.0,72.22,71.67,3509.0,43.92,43.28,253.0,
Mainpuri,6316.0,12.7,12.29,7028.0,118.89,114.95,1202.0,
Mau,42272.0,144.89,144.12,16570.0,208.31,205.97,1036.0,83.72
Meerut,82902.0,294.62,290.75,37405.0,400.36,394.36,3207.0,256.78
Mirzapur,67819.0,242.99,224.56,25505.0,268.11,266.71,1374.0,107.74
Moradabad,53597.0,194.96,192.13,27405.0,311.31,301.88,2252.0,179.0
Muzaffarnagar,110049.0,400.09,392.87,41102.0,391.81,379.43,1807.0,146.47
Pilibhit,9124.0,31.99,31.34,3175.0,64.29,62.79,724.0,55.61
Pratapgarh,31843.0,115.44,114.61,15540.0,178.26,176.82,728.0,58.68
Rae Bareli,49400.0,175.15,173.46,20105.0,281.06,279.11,1811.0,152.41
Rampur,33641.0,118.7,116.25,14474.0,158.88,154.01,810.0,65.21
Saharanpur,155376.0,552.14,545.6,72457.0,627.66,619.63,1738.0,139.14
Sambhal,23097.0,87.21,85.44,6787.0,67.77,64.36,564.0,45.07
Sant Kabeer Nagar,37741.0,139.5,138.7711529,154.42,152.68,826.0,68.81,65.86
Shahjahanpur,31087.0,111.26,109.92,9691.0,129.48,128.32,1083.0,89.53
Shamli,41761.0,145.8,143.85,16355.0,156.14,153.88,534.0,42.73
Shravasti,9684.0,29.09,29.0,3312.0,58.41,57.97,447.0,32.7
Siddharth Nagar,25317.0,84.49,83.71,7430.0,118.0,115.66,930.0,78.43
Sitapur,47975.0,164.22,162.99,14692.0,180.49,177.45,1230.0,97.19
Sonbhadra,70118.0,239.15,237.29,24054.0,210.8,209.88,1075.0,85.07
Sultanpur,40358.0,144.69,143.88,15938.0,195.65,193.65,1275.0,107.25
Unnao,20786.0,71.05,69.45,10379.0,143.86,139.84,1013.0,78.03
Varanasi,139423.0,485.42,483.26,62263.0,633.84,627.15,3873.0,362.39
