District,no_of_bank_mitra
Aligarh,4937.0
Ambedkar Nagar,11682.0
Amethi,1478944.0
Amroha,10.23
Auraiya,25.43
Ayodhya,38688.0
Azamgarh,369148.0
Baghpat,452938.0
Ballia,8283.0
Banda,32717.0
Barabanki,3748.0
Bareilly,828.9
Basti,11698.0
Bhadohi,26540.0
Bijnor,8.43
Budaun,18179.0
Bulandshahr,2383.5
Deoria,0.51
Etah,50696.0
Etawah,1528.0
Farrukhabad,304.0
Firozabad,0.43
Gautam Buddha Nagar,0.38
Ghaziabad,3557.84
Ghazipur,0.46
Gonda,7096.68
Gorakhpur,1286.0
Hamirpur,0.66
Hapur,1512.0
Hardoi,2945.75
Hathras,248.11
Jalaun,4930.0
Jaunpur,0.69
Jhansi,0.51
Kannauj,1228.0
Kanpur Dehat,1151.34
Kanpur Nagar,0.46
Kasganj,0.21
Kaushambi,0.24
Kheri,0.6
Kushi Nagar,0.46
Lalitpur,1790433.0
Lucknow,4.06
Maharajganj,14017.0
Mainpuri,7401.0
Mathura,0.14
Mau,1.0
Meerut,0.02
Mirzapur,0.73
Moradabad,0.46
Muzaffarnagar,0.94
Pilibhit,0.7
Pratapgarh,0.52
Prayagraj,0.31
Rae Bareli,0.46
Rampur,5797.0
Saharanpur,7838.0
Sambhal,0.42
Sant Kabeer Nagar,374.4
Shahjahanpur,16439.25
Shamli,0.51
Sitapur,3611.0
Sultanpur,12893.0
Unnao,0.45
Varanasi,7.34
