District,total_deposit,total_advances,cd_ratio
Aligarh,662.0,35639.0,606.0
Ambedkar Nagar,38.0,976.0,58.0
Amethi,72.0,507.0,79.0
Amroha,2.0,889.0,30636.0
Auraiya,13.0,291.0,
Ayodhya,250.0,59.0,17.0
Azamgarh,1045.0,36924.0,856.0
Baghpat,1663.0,53663.0,2161.0
Ballia,374.0,26812.0,401.0
Balrampur,9498.0,28.84,14733.0
Banda,14.0,375.0,138.0
Barabanki,19551.0,39.23,437.0
Bareilly,15416.0,45.89,205.0
Basti,15.0,70.0,462.0
Bhadohi,218.0,116.0,61.0
Bijnor,357.0,14136.0,2.0
Budaun,8190.0,680.0,
Bulandshahr,425.0,476.0,109.0
Chandauli,19570.2,10958.82,
Deoria,481.0,106.0,72.0
Fatehpur,4174.47,52.27,
Firozabad,75.0,85.0,429.0
Gautam Buddha Nagar,24893.0,345.0,
Ghazipur,152.0,87.0,193.0
Gonda,15.0,109.0,220.0
Gorakhpur,441.0,146.0,36.0
Hamirpur,21181.4,50.25,
Hapur,31051.0,1830.0,
Hardoi,394.0,20288.0,478.0
Hathras,1163.0,38779.0,1.0
Jalaun,143.0,68.0,347.0
Jaunpur,775.0,25401.0,856.0
Jhansi,89.0,210.0,575.0
Kanpur Dehat,53.0,699.0,98.0
Kanpur Nagar,17232.0,8009.0,46.48
Kaushambi,422.0,24872.0,775.0
Kheri,2.0,895.0,29881.0
Kushi Nagar,438.0,149.0,110.0
Lalitpur,925.0,43896.0,1590.0
Lucknow,403.0,133.0,57.0
Maharajganj,10.0,260.0,139.0
Mathura,2.0,318.0,11101.0
Mau,784.0,35057.0,1653.0
Meerut,345.0,31.0,365.0
Mirzapur,459.0,102.0,1551.0
Moradabad,304.0,415.0,108.0
Muzaffarnagar,454.0,24817.0,2078.0
Pilibhit,6245.0,673.0,23872.0
Pratapgarh,693.0,23652.0,326.0
Prayagraj,27.0,392.0,92.0
Rae Bareli,25139.72,39.41,
Rampur,34145.0,19898.0,58.28
Saharanpur,575.0,18513.0,489.0
Sambhal,4.0,79.0,235.0
Sant Kabeer Nagar,25138.0,1103.0,
Shahjahanpur,152.0,845.0,
Shravasti,676.0,23985.0,
Sitapur,62.0,1155.0,810.0
Sonbhadra,6995.18,57.79,
Sultanpur,52603.0,4556.0,
Unnao,695.0,24943.0,1295.0
Varanasi,228.0,109.0,57.0
