District,col_1,col_2,col_3,col_4,col_5,col_6
Baghpat,123807.0,22709.0,,,,
Balrampur,123172.0,11980.0,,,,
Bareilly,829798.0,297743.0,,,,
Bijnor,402091.0,129903.0,1334.43,16.5,,
Budaun,269737.0,4969.14,25269.0,317.38,9.37,6.39
Bulandshahr,363982.0,7679.11,47681.0,559.78,13.1,7.29
Ghaziabad,247043.0,22019.76,62568.0,25.33,5.0,
Kheri,370851.0,7573.2,62436.0,1258.28,16.84,16.61
Lucknow,518624.0,111370.0,,,,
Meerut,356375.0,15290.77,97094.0,1813.03,27.24,11.86
Moradabad,300336.0,10103.05,313524.0,5862.78,104.39,58.03
Muzaffarnagar,499797.0,10326.0,106450.0,1454.64,21.3,14.09
Pilibhit,188515.0,4680.85,46607.0,980.39,24.72,20.94
Rampur,4898.59,60452.0,,,,
Saharanpur,466829.0,9828.5,117968.0,1759.29,25.27,17.9
Shahjahanpur,280520.0,6680.16,35682.0,798.38,12.72,11.95
Shravasti,85536.0,1100.11,11340.0,132.84,13.26,12.08
