District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,11.0,9.0,81.82,,,
Aligarh,385.0,226.0,58.7,,,
Ambedkar Nagar,77.0,60.0,77.92,,,
Amethi,62.0,39.0,62.9,,,
Amroha,142.0,89.0,62.68,,,
Auraiya,2.0,2.0,100.0,,,
Ayodhya,4.0,3.0,75.0,,,
Azamgarh,77.0,49.0,63.64,,,
Baghpat,4.0,75.0,57.5,,,
Bahraich,2.0,2.0,100.0,,,
Ballia,2.0,1.0,50.0,,,
Balrampur,123172.0,4.35,50.0,374.67,12.53,
Banda,4.0,2.0,50.0,1222.69,39.06,
Barabanki,361904.0,6083.18,5.37,1547.12,14.73,25.74
Bareilly,829798.0,12947.51,60.0,4699.44,100.0,
Basti,186870.0,2797.42,65.22,64.16,79.92,
Bhadohi,115202.0,4.66,48.39,95.96,,
Bijnor,13.0,7.0,53.85,,,
Budaun,269737.0,32.31,57.14,1143.29,26.68,19.12
Bulandshahr,363982.0,7679.11,63.64,26.96,,
Chandauli,152891.0,2571.86,7.29,43.79,,
Chitrakoot,99655.0,7.62,50.0,498.91,22.87,25.72
Deoria,255441.0,3417.99,14731.0,214.61,5.77,93.43
Etah,4.0,2.0,50.0,1218.34,52.67,54.88
Etawah,163016.0,2853.27,16460.0,107.54,10.1,3.77
Farrukhabad,165927.0,2883.06,12537.0,183.89,7.56,6.38
Fatehpur,200682.0,3588.55,11287.0,190.57,5.62,5.31
Firozabad,247021.0,5534.9,21122.0,250.23,8.55,4.52
Gautam Buddha Nagar,328723.0,28915.2,43892.0,1152.57,13.35,3.99
Ghaziabad,247043.0,22019.76,62568.0,1101.86,25.33,5.0
Ghazipur,281106.0,4718.41,24784.0,327.66,8.82,6.94
Gonda,255172.0,4245.22,13377.0,181.68,5.24,4.28
Gorakhpur,560079.0,11139.84,45644.0,649.64,8.15,5.83
Hamirpur,113855.0,2082.26,5493.0,101.88,4.82,4.89
Hapur,149603.0,4099.42,34521.0,486.91,23.08,11.88
Hardoi,337635.0,5065.69,23522.0,360.28,6.97,7.11
Hathras,183741.0,3710.17,13817.0,154.59,7.52,4.17
Jalaun,147131.0,2826.41,9398.0,130.5,6.39,44.02
Jaunpur,389119.0,5246.91,65.0,3529.6,61.17,76.73
Jhansi,244366.0,6493.43,11708.0,290.5,24.11,35.31
Kannauj,4.79,4.47,79.22,4039.13,67.19,100.0
Kanpur Dehat,2.0,2.0,100.0,,,
Kanpur Nagar,444214.0,22254.62,905.0,914.85,42.17,41.77
Kasganj,133554.0,2326.73,8440.0,130.12,6.32,5.59
Kaushambi,114957.0,1562.64,10108.0,132.03,8.79,8.45
Kheri,370851.0,7573.2,62436.0,1258.28,16.84,16.61
Kushi Nagar,397928.0,3752.78,24290.0,231.2,6.1,6.16
Lucknow,518624.0,38057.11,3.08,,,
Maharajganj,233410.0,7.02,3192.0,3793.0,99.29,
Mahoba,35.0,76.09,,,,
Mainpuri,153608.0,3397.82,2851.0,58.93,1.86,
Mathura,127.0,58.8,1501.0,90.04,100.0,
Mau,4.93,3.62,2144.0,2370.26,78.85,85.26
Meerut,248.0,44.77,,,,
Mirzapur,200003.0,3640.88,11426.0,167.39,5.71,4.6
Moradabad,300336.0,10103.05,313524.0,5862.78,104.39,58.03
Muzaffarnagar,499797.0,10326.0,106450.0,,,
Pilibhit,7.0,63.64,1560.0,73.38,81.22,
Pratapgarh,188515.0,24.72,20.94,55.26,,
Prayagraj,9.0,6.0,66.67,,,
Rae Bareli,304149.0,5512.94,7.76,55.23,,
Rampur,233202.0,4.74,100.0,392.57,28.46,
Saharanpur,466829.0,9828.5,23.11,,,
Sambhal,203591.0,3857.69,25472.0,417.92,12.51,10.83
Sant Kabeer Nagar,234134.0,1809.03,32435.0,185.35,13.85,
Shahjahanpur,280520.0,6680.16,10.25,32.76,,
Shamli,188893.0,3089.37,38495.0,520.97,20.38,16.86
Shravasti,85536.0,1100.11,11340.0,132.84,13.26,12.08
Siddharth Nagar,130857.0,1774.49,13687.0,10.46,13.05,
Sitapur,7.0,7.0,100.0,,,
Sonbhadra,28.0,60.87,,,,
Sultanpur,206069.0,2981.23,4.73,,,
Unnao,227072.0,9.1,50.0,,,
Varanasi,1359972.0,18372.04,90.91,,,
