District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,1165.0,241.47,851.0,145.64
Amethi,153.0,30.91,112.0,13.21
Auraiya,114.0,20.51,79.0,8.6
Ayodhya,912.0,6734.95,188.0,25.64
Azamgarh,231.0,39.12,114.0,14.97
Baghpat,114.0,21.72,89.0,
Bahraich,603.0,4453.45,,
Ballia,977.0,11255.86,,
Balrampur,8611.0,41326.84,,
Banda,5102.0,19846.61,,
Barabanki,772.0,8413.73,131.0,23.12
Bareilly,1125.0,11818.18,345.0,
Basti,23519.0,124201.5,,
Bhadohi,10021.0,44101.58,,
Bijnor,11203.0,38089.88,,
Budaun,14122.0,55539.7,128.0,10.3
Bulandshahr,8899.0,32337.36,302.0,41.7
Chandauli,12761.0,66693.62,,
Deoria,243.0,49.03,169.0,21.7
Etah,120.0,24.01,93.0,13.17
Etawah,520.0,6059.41,113.0,16.6
Farrukhabad,1629.0,15555.85,95.0,12.6
Fatehpur,565.0,4564.0,91.0,12.56
Firozabad,190.0,36.62,120.0,16.32
Gautam Buddha Nagar,732.0,172.48,452.0,93.45
Ghaziabad,914.0,212.84,537.0,99.96
Kaushambi,165.0,1550.2,,
Mathura,734.0,7801.49,,
Rampur,2296.0,16191.48,,
Sambhal,58.0,11.91,37.0,4.87
Sant Kabeer Nagar,126.0,23.88,73.0,10.35
Shahjahanpur,758.0,5757.65,107.0,14.22
Siddharth Nagar,251.0,2114.67,,
Sitapur,689.0,5211.66,,
Sonbhadra,1625.0,13692.62,,
Sultanpur,283.0,50.71,169.0,21.1
Unnao,1435.0,10073.51,113.0,13.59
Varanasi,1111.0,238.91,663.0,119.6
