district,branches_per_1_lakh_population,bcs_per_1_lakh_population,atms_per_1_lakh_population,banking_network_per_1_lakh_population
Angul,15.94,85.02,21.04,122.00
Balangir,12.49,123.17,12.67,148.33
Balasore,12.88,103.55,15.90,132.34
Bargarh,13.97,81.96,14.18,110.11
Bhadrak,11.48,104.82,15.93,132.24
Boudh,12.47,71.86,11.56,95.88
Cuttack,19.20,94.84,24.42,138.47
Deogarh,14.08,70.72,13.76,98.55
Dhenkanal,12.99,63.38,15.01,91.38
Gajapati,11.77,74.24,15.06,101.07
Ganjam,13.77,89.77,17.23,120.77
Jagatsinghpur,15.39,155.59,20.05,191.03
Jajpur,13.19,134.52,17.51,165.23
Jharsuguda,19.15,55.05,24.50,98.70
Kalahandi,11.29,104.51,10.59,126.39
Kandhamal,11.46,76.39,12.14,99.98
Kendrapara,10.55,66.09,13.95,90.60
Keonjhar,13.10,97.74,15.21,126.05
Khordha,34.42,140.25,55.25,229.92
Koraput,11.52,116.70,12.39,140.62
Malkangiri,10.76,75.67,8.64,95.08
Mayurbhanj,12.34,95.72,12.62,120.69
Nabarangpur,8.68,51.35,5.90,65.93
Nayagarh,14.02,149.36,16.20,179.58
Nuapada,12.94,82.90,12.29,108.13
Puri,14.89,127.62,18.37,160.88
Rayagada,12.19,61.27,13.43,86.89
Sambalpur,20.75,99.32,23.72,143.79
Subarnapur,14.26,124.55,15.41,154.22
Sundargarh,14.38,56.27,19.30,89.95
