district,"micro,_small_and_medium_enterprises_small_services_t",a,pct,medium_manufacturing_t,a,pct,medium_services_t,a,pct,khadi_and_village_industries_t,a,pct,others_under_msme_t,a,pct,total_msme_t,a,pct
Angul,680.00,351.29,51.66,382.50,101.93,26.65,0.00,128.60,,275.83,0.33,0.12,0.00,1.92,,5177.22,1416.34,27.36
Balangir,307.70,213.98,69.54,1156.00,33.39,2.89,1119.45,82.51,7.37,0.00,1.89,,0.00,2.14,,3090.20,892.65,28.89
Balasore,824.50,403.26,48.91,1041.25,258.21,24.80,1173.00,259.88,22.16,113.52,3.38,2.98,0.00,3.65,,5020.48,2485.07,49.50
Bargarh,302.12,198.99,65.87,389.24,54.69,14.05,254.20,40.58,15.96,0.00,0.66,,0.00,1.65,,2862.67,904.35,31.59
Bhadrak,0.00,111.05,,127.50,9.13,7.16,0.00,0.43,,30.56,1.60,5.22,0.00,2.06,,2004.00,557.06,27.80
Boudh,137.70,34.15,24.80,25.50,1.10,4.31,0.00,2.60,,0.00,0.16,,0.00,0.91,,442.34,117.08,26.47
Cuttack,994.50,807.52,81.20,1517.25,411.93,27.15,2320.50,465.00,20.04,0.00,3.33,,0.00,9.20,,8645.86,3772.14,43.63
Deogarh,35.90,13.50,37.61,21.25,0.00,0.00,49.00,0.00,0.00,4.00,0.28,7.00,8.00,0.41,5.10,227.82,57.65,25.31
Dhenkanal,516.12,84.68,16.41,390.15,50.67,12.99,476.85,6.65,1.40,0.00,0.92,,0.00,0.81,,2106.32,442.55,21.01
Gajapati,136.00,35.06,25.78,51.94,7.09,13.65,53.55,11.63,21.71,9.56,0.05,0.52,0.00,0.21,,542.68,202.96,37.40
Ganjam,2635.00,379.61,14.41,637.50,121.10,19.00,1071.00,163.45,15.26,0.00,3.14,,0.00,3.83,,7811.81,2148.19,27.50
Jagatsinghpur,90.10,105.14,116.70,55.25,10.81,19.57,58.65,7.21,12.29,283.08,0.60,0.21,0.00,3.11,,2131.03,533.25,25.02
Jajpur,844.87,262.92,31.12,321.85,19.59,6.09,402.32,64.27,15.97,80.46,2.34,2.90,0.00,2.70,,4023.17,970.01,24.11
Jharsuguda,986.00,270.63,27.45,127.50,89.53,70.22,318.74,112.49,35.29,114.75,1.01,0.88,0.00,1.72,,3614.41,1103.08,30.52
Kalahandi,0.00,157.07,,1164.50,10.60,0.91,0.00,16.26,,0.00,0.40,,0.00,0.68,,1583.41,671.23,42.39
Kandhamal,102.00,41.80,40.98,0.00,0.00,,0.00,1.86,,3.47,0.11,3.13,0.00,0.25,,631.19,158.92,25.18
Kendrapara,221.00,64.07,28.99,8.50,0.34,3.94,122.40,3.63,2.97,14.07,1.96,13.92,0.00,1.34,,1290.41,337.19,26.13
Keonjhar,574.60,277.45,48.29,828.75,87.08,10.51,1938.00,113.73,5.87,47.49,3.46,7.28,0.00,5.30,,3438.05,1087.52,31.63
Khordha,9180.00,2098.86,22.86,2443.75,1260.61,51.59,15555.00,1706.41,10.97,7.65,4.55,59.46,0.00,41.52,,32954.50,9403.99,28.54
Koraput,92.39,174.70,189.10,468.99,27.95,5.96,1809.67,63.00,3.48,4.74,0.35,7.39,0.00,1.52,,2556.35,737.60,28.85
Malkangiri,127.50,35.65,27.96,51.00,0.53,1.04,2.55,5.54,217.13,7.33,0.15,2.03,0.00,0.16,,279.21,129.47,46.37
Mayurbhanj,350.20,181.87,51.93,204.00,0.95,0.47,344.25,20.22,5.87,49.73,6.06,12.18,0.00,2.38,,2247.23,784.32,34.90
Nabarangpur,147.87,40.32,27.27,25.50,0.22,0.87,56.10,1.71,3.05,67.15,0.01,0.01,0.00,0.58,,631.21,217.68,34.49
Nayagarh,136.17,39.01,28.65,51.51,0.99,1.92,167.41,4.66,2.78,28.94,0.98,3.38,0.00,1.47,,1062.34,310.77,29.25
Nuapada,81.60,46.91,57.49,72.25,3.87,5.36,107.10,7.26,6.78,0.00,0.66,,0.00,0.66,,480.82,297.55,61.88
Puri,372.57,100.74,27.04,209.57,29.97,14.30,256.15,10.82,4.22,46.57,3.25,6.97,69.86,13.45,19.26,2328.53,672.67,28.89
Rayagada,341.70,72.22,21.14,429.25,2.42,0.56,573.75,3.18,0.55,0.00,0.61,,0.00,1.83,,1714.19,346.20,20.20
Sambalpur,865.30,431.24,49.84,301.75,155.79,51.63,484.50,145.18,29.96,19.51,0.31,1.59,0.00,5.26,,3936.99,1631.21,41.43
Subarnapur,132.60,47.79,36.04,55.25,0.61,1.10,109.65,1.41,1.29,178.50,1.28,0.72,0.00,1.33,,794.33,159.18,20.04
Sundargarh,9806.73,825.64,8.42,2416.95,983.56,40.69,784.38,776.22,98.96,330.87,2.54,0.77,0.00,14.05,,18006.21,4444.94,24.69
