district,target_physical_3,financial_400,cumulative_sponsoring_physical_5,financial_6,cumulative_achievement_physical_7,financial_8,pct_achievement_physical_9_7_3,financial_10_8_4,average_loan_size_11_8_7
Angul,16130,79992.92,621,4102.50,278,1774.70,1.72,2.22,6.38
Balangir,12050,48264.76,534,3407.60,354,1738.23,2.94,3.60,4.91
Balasore,24770,129801.32,1320,9074.80,1033,6732.37,4.17,5.19,6.52
Bargarh,11750,54202.53,70,451.00,9,43.90,0.08,0.08,4.88
Bhadrak,17700,94260.46,934,7069.30,841,5568.92,4.75,5.91,6.62
Boudh,3980,19762.22,114,782.00,93,382.75,2.34,1.94,4.12
Cuttack,24385,128411.50,659,4871.80,357,2465.57,1.46,1.92,6.91
Deogarh,4450,19006.23,104,672.50,88,560.00,1.98,2.95,6.36
Dhenkanal,12090,60443.04,504,3622.57,225,1458.47,1.86,2.41,6.48
Gajapati,6195,25042.46,26,148.00,26,80.80,0.42,0.32,3.11
Ganjam,31365,156287.15,2762,22653.20,923,5107.12,2.94,3.27,5.53
Jajpur,19500,105695.60,258,1649.05,199,1191.45,1.02,1.13,5.99
Jharsuguda,4805,23310.25,83,500.00,15,70.00,0.31,0.30,4.67
Kalahandi,9985,40572.66,805,4685.00,301,1275.79,3.01,3.14,4.24
Kandhamal,7645,33990.77,448,2961.50,85,428.00,1.11,1.26,5.04
Kendrapara,15900,84865.11,952,6610.70,563,3321.79,3.54,3.91,5.90
Keonjhar,17035,81627.73,557,3788.70,261,1603.44,1.53,1.96,6.14
Khordha,19600,120937.00,320,2876.50,115,819.48,0.59,0.68,7.13
Koraput,10045,40210.89,358,2013.50,210,1115.43,2.09,2.77,5.31
Malkangiri,4920,19951.28,147,832.00,30,128.00,0.61,0.64,4.27
Mayurbhanj,26535,134164.63,575,3980.65,440,2819.90,1.66,2.10,6.41
Nabarangpur,7290,29662.25,260,1479.50,133,629.48,1.82,2.12,4.73
Nayagarh,11740,69681.05,63,585.00,19,154.00,0.16,0.22,8.11
Nuapada,5440,22154.19,133,794.00,78,356.60,1.43,1.61,4.57
Puri,21415,114356.01,1523,13833.50,827,6060.50,3.86,5.30,7.33
Rayagada,7120,30119.29,26,178.00,21,111.00,0.29,0.37,5.29
Sambalpur,8880,48655.99,82,555.00,40,281.00,0.45,0.58,7.03
Subarnapur,5790,24992.22,369,2680.50,118,523.64,2.04,2.10,4.44
Sundargarh,17500,86820.75,383,2398.50,188,1120.70,1.07,1.29,5.96
