district,total_targets,sc_st_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,women_general_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,total_no_of_a_cs,sanctione_d_amt,disburse_ment_amt
Angul,308,52,12.24,9.47,330,90.66,78.07,382,102.9,87.53
Balangir,290,33,7.17,5.26,126,27.75,19.91,159,34.92,25.17
Balasore,458,58,13.71,9.32,308,71.64,57.63,366,85.35,66.94
Bargarh,296,61,12.71,9.91,187,47.19,38.52,248,59.9,48.42
Bhadrak,278,30,6.22,5.64,177,40.91,29.84,207,47.13,35.48
Boudh,92,22,5.18,4.26,45,11.69,9.29,67,16.86,13.54
Cuttack,850,101,21.95,14.64,643,146.99,101.66,744,168.94,116.3
Deogarh,74,6,0.75,0.55,23,5.69,2.55,29,6.44,3.1
Dhenkanal,276,47,10.06,8.49,224,57.23,48.03,271,67.29,56.52
Gajapati,98,11,2.31,1.54,43,9.49,6.05,54,11.8,7.59
Ganjam,816,96,21.24,15.44,508,131.98,91.43,604,153.22,106.86
Jharsuguda,184,36,8.3,6.09,154,38.39,28.68,190,46.69,34.77
Kalahandi,264,50,9.29,7.76,99,24.15,17.02,149,33.44,24.77
Kandhamal,134,27,5.02,4.19,66,11.09,8.39,93,16.1,12.58
Kendrapara,260,23,4.69,3.61,107,20.91,14.7,130,25.6,18.32
Keonjhar,380,56,12.8,11.36,243,62.73,49.9,299,75.53,61.25
Khordha,1228,204,43.64,31.75,1156,281.95,206.33,1360,325.6,238.08
Koraput,238,48,11.62,9.82,148,32.96,22.1,196,44.58,31.92
Malkangiri,108,39,8.87,5.94,24,5.28,4.24,63,14.14,10.18
Mayurbhanj,502,96,23.84,20.01,245,57.84,47.65,341,81.67,67.66
Nabarangpur,130,29,7.33,6.57,43,7.85,5.68,72,15.19,12.26
Nayagarh,226,23,4.46,3.99,132,25.85,21.16,155,30.31,25.16
Nuapada,104,16,3.29,2.42,35,8.02,5.15,51,11.31,7.56
Puri,420,102,15.73,13.87,302,56.28,42.27,404,72.01,56.14
Rayagada,204,34,6.56,5.53,110,23.03,15.93,144,29.59,21.46
Sambalpur,372,102,20.72,18.33,324,83.95,65.44,426,104.66,83.77
Subarnapur,130,19,3.51,2.71,43,10.15,8.23,62,13.67,10.95
Sundargarh,482,152,41.84,34.4,488,148.23,119.41,640,190.07,153.81
