district,eligible_operative_savings_accounts_from_01042023_to_30062025_no_of_accounts,"of_which,_no_of_women_accounts",debit_rupay_cards_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,internet_banking_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,mobile_banking_+_upi_+_ussd_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,aeps_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts
Angul,932655,417336,708527,75.97,284498.06,68.17,274992.4851,29.48,72348.24439,17.34,489835.1633,52.52,143527.2497,34.39,752135.252,80.64,338821.5812,81.19
Balangir,912298,452031,699437,76.67,323036.28,71.46,199572,21.88,56126,12.42,374417,41.04,105720,23.39,759287,83.23,380124,84.09
Balasore,1536711,738211,1162274,75.63,518490.3,70.24,383056.5789,24.93,112622.754,15.26,734748.4192,47.81,224818.2866,30.45,1281269.736,83.38,625454.2817,84.73
Bargarh,1079163,601156,748481,69.36,372808.82,62.02,234724,21.75,81222,13.51,494615,45.83,212987,35.43,837692,77.62,449249,74.73
Bhadrak,1085274,575239,876469,80.76,449821.5,78.20,224258.2479,20.66,63417.10898,11.02,438136.545,40.37,136408.9568,23.71,850862.345,78.40,436926.9838,75.96
Boudh,346070,199951,189232,54.68,83966.16,41.99,75701.54243,21.87,32898.90732,16.45,173659.1677,50.18,92451.71707,46.24,245407.2099,70.91,130827.1756,65.43
Cuttack,2112805,1078753,1610438,76.22,770913.48,71.46,622286,29.45,205246,19.03,1168575,55.31,431676,40.02,1602037,75.83,798294,74.00
Deogarh,168503,84782,116757,69.29,50371.3,59.41,51281,30.43,18032,21.27,78644,46.67,26294,31.01,143454,85.13,71321,84.12
Dhenkanal,729270,349816,557581,76.46,239206.24,68.38,190228,26.08,56222,16.07,350076,48.00,113152,32.35,604897,82.95,280507,80.19
Gajapati,390973,207275,243103,62.18,111646.28,53.86,84696.85102,21.66,29793.99029,14.37,149875.5824,38.33,48726.65049,23.51,325873.2957,83.35,173428.1165,83.67
Ganjam,2234051,1080291,1669439,74.73,735210.7,68.06,622512.8565,27.86,185062.751,17.13,1190615.64,53.29,369737.5818,34.23,1865505.721,83.50,916192.5307,84.81
Jagatsinghpur,865181,420972,622354,71.93,273380.56,64.94,213688.0974,24.70,64773.4996,15.39,464368.0729,53.67,168119.6377,39.94,674180.5843,77.92,332413.9242,78.96
Jajpur,1656136,932017,1284865,77.58,706351.68,75.79,326299,19.70,90065,9.66,678952,41.00,227151,24.37,1170817,70.70,610999,65.56
Jharsuguda,474416,222142,354661,74.76,148843.5,67.00,183553,38.69,61571,27.72,302360,63.73,101869,45.86,374594,78.96,181086,81.52
Kalahandi,837696,424239,627223,74.87,292963.3,69.06,176798,21.11,46859,11.05,325549,38.86,93477,22.03,743037,88.70,379554,89.47
Kandhamal,404544,207131,280608,69.36,130680.24,63.09,104456,25.82,34540,16.68,158497,39.18,51157,24.70,365303,90.30,189308,91.40
Kendrapara,962649,478706,731185,75.96,336312.74,70.25,236215,24.54,77718,16.24,453913,47.15,147928,30.90,823058,85.50,414141,86.51
Keonjhar,1039764,569428,831934,80.01,444151.68,78.00,248084.0052,23.86,75183.09162,13.20,431891.4138,41.54,136030.385,23.89,730409.7967,70.25,373427.6143,65.58
Khordha,2865234,1290566,2362307,82.45,1017189.3,78.82,1352982,47.22,464715,36.01,2118532,73.94,748465,58.00,2041823,71.26,917770,71.11
Koraput,688557,338860,471929,68.54,204965.84,60.49,179107,26.01,56565,16.69,309833,45.00,97691,28.83,577991,83.94,291452,86.01
Malkangiri,296013,158990,203308,68.68,97436.04,61.28,64569,21.81,26343,16.57,107235,36.23,39124,24.61,263698,89.08,144278,90.75
Mayurbhanj,1135950,564825,777601,68.45,339492.16,60.11,239440,21.08,79127,14.01,506467,44.59,166634,29.50,913383,80.41,450726,79.80
Nabarangpur,394862,204596,278350,70.49,128229.52,62.67,94830,24.02,32935,16.10,162736,41.21,54430,26.60,344856,87.34,179812,87.89
Nayagarh,611169,299456,460021,75.27,214176.76,71.52,125081,20.47,34817,11.63,259040,42.38,84107,28.09,491761,80.46,236102,78.84
Nuapada,427249,211962,286702,67.10,129879,61.27,66000.20563,15.45,17030.74354,8.03,159891.3915,37.42,47793.76525,22.55,370920.9362,86.82,185759.6308,87.64
Puri,1239759,683934,938401,75.69,492147.06,71.96,290062,23.40,96857,14.16,598085,48.24,232562,34.00,953555,76.91,490403,71.70
Rayagada,599352,304566,396137,66.09,181234.56,59.51,115894,19.34,31320,10.28,236302,39.43,72812,23.91,525152,87.62,272034,89.32
Sambalpur,847984,429513,633014,74.65,294887,68.66,286853.8526,33.83,99194.75,23.09,447312.5579,52.75,153223.4412,35.67,674011.5758,79.48,339570.6176,79.06
Subarnapur,416189,213666,320919,77.11,153175.66,71.69,87014.09046,20.91,22918.92857,10.73,159709.7784,38.37,45796.03571,21.43,340602.7353,81.84,170971.9643,80.02
Sundargarh,1867456,1016058,1468055,78.61,777356.98,76.51,561809,30.08,211329,20.80,884024,47.34,333867,32.86,1437507,76.98,759202,74.72
