district,forwarded_to_bank_as_on_30062025_including_the_pending_applications_of_2024_25_n,amount_in_rs_lakhs,sanctioned_by_bank_from_01042025_to_30062025_no_of_a_c,amount_in_rs_lakhs,rejected_as_on_30062025_no_of_a_c,amount_in_rs_lakhs,pending_as_on_30062025_no_of_a_c,amount_in_rs_lakhs
Angul,51,27.50,0,0.00,0,0,51,27.50
Balangir,30,15.00,0,0.00,0,0,30,15.00
Balasore,84,50.00,0,0.00,0,0,84,50.00
Bargarh,97,51.50,0,0.00,0,0,97,51.50
Bhadrak,117,79.00,11,11.00,0,0,106,68.00
Boudh,7,3.50,0,0.00,0,0,7,3.50
Cuttack,38,28.00,0,0.00,0,0,38,28.00
Deogarh,54,40.00,0,0.00,0,0,54,40.00
Dhenkanal,82,62.50,0,0.00,0,0,82,62.50
Gajapati,45,23.50,0,0.00,0,0,45,23.50
Ganjam,37,31.50,0,0.00,0,0,37,31.50
Jagatsinghpur,64,34.00,0,0.00,0,0,64,34.00
Jajpur,173,94.50,0,0.00,0,0,173,94.50
Jharsuguda,8,4.00,0,0.00,0,0,8,4.00
Kalahandi,121,68.50,0,0.00,0,0,121,68.50
Kandhamal,35,16.20,0,0.00,0,0,35,16.20
Kendrapara,60,31.00,0,0.00,0,0,60,31.00
Keonjhar,91,46.50,0,0.00,0,0,91,46.50
Khordha,110,91.00,0,0.00,0,0,110,91.00
Koraput,43,23.00,0,0.00,0,0,43,23.00
Malkangiri,5,2.50,0,0.00,0,0,5,2.50
Mayurbhanj,12,7.00,0,0.00,0,0,12,7.00
Nabarangpur,16,10.49,2,1.89,0,0,14,8.60
Nayagarh,57,35.50,0,0.00,0,0,57,35.50
Nuapada,0,0.00,0,0.00,0,0,0,0.00
Puri,83,46.50,0,0.00,0,0,83,46.50
Rayagada,12,6.00,0,0.00,0,0,12,6.00
Sambalpur,64,32.00,0,0.00,0,0,64,32.00
Subarnapur,55,27.50,0,0.00,0,0,55,27.50
Sundargarh,4,2.00,0,0.00,0,0,4,2.00
