district,shishu_no_of_a_cs,sanctioned_amt,disburse_ment_amt,kishore_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,tarun_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,tarun_plus_no_of_a_cs,sanctioned_amt,disburse_ment_amt,total_no_of_a_cs,sanctione_d_amt,disburse_ment_amt
Angul,7673,25.08,25.07,5553,58.07,57.51,326,26.39,25.37,4,0.65,0.51,13556,110.19,108.46
Balangir,9375,28.72,28.69,7700,69.48,68.91,298,22.98,22.41,8,0.82,0.77,17381,122,120.79
Balasore,10397,36.8,36.74,9427,108.38,107.49,579,45.97,45.38,11,1.5,1.34,20414,192.64,190.95
Bargarh,8997,30.23,30.22,6278,65.18,64.52,340,28.51,27.99,4,0.56,0.56,15619,124.48,123.29
Bhadrak,9843,36.84,36.83,8251,82.98,82.65,499,41.6,41.31,10,1.34,1.34,18603,162.76,162.14
Boudh,1619,6.1,6.1,1598,17.94,17.69,98,8.25,8.1,3,0.46,0.46,3318,32.74,32.36
Cuttack,16873,52.64,52.55,14026,151.08,149.64,972,82.27,80.63,9,1.21,1.21,31880,287.2,284.04
Deogarh,1017,3.77,3.73,501,7.66,7.35,116,9.39,9.16,1,0.2,0.2,1635,21.01,20.45
Dhenkanal,9281,23.19,23.14,5084,51.32,50.94,336,27.44,27.13,6,0.94,0.94,14707,102.89,102.14
Gajapati,1919,6.79,6.79,1642,18.03,17.58,120,9.22,9.16,2,0.27,0.27,3683,34.3,33.8
Ganjam,17661,46.95,46.87,14023,157.45,155.93,1054,85.34,83.44,27,3.92,3.92,32765,293.66,290.16
Jagatsinghpur,7188,23.48,23.46,4578,52.06,51.15,481,39.14,38.69,6,0.85,0.83,12253,115.53,114.12
Jajpur,8769,32.76,32.76,7724,90.49,89.76,598,49.46,49.14,10,1.09,1.05,17101,173.8,172.71
Jharsuguda,3296,11.76,11.71,2768,30.68,30.04,186,15.48,15.09,7,1.03,1.03,6257,58.94,57.86
Kalahandi,6596,23.91,23.87,4005,42.4,42.21,276,23.53,23.35,11,1.69,1.69,10888,91.53,91.12
Kandhamal,2579,9.09,9.08,1330,16.49,16.27,116,9.58,9.5,3,0.38,0.38,4028,35.54,35.24
Kendrapara,3684,13.2,13.19,2886,38.61,37.91,321,25.91,25.3,7,1,1,6898,78.72,77.4
Keonjhar,5460,19.6,19.47,3669,45.17,44.31,389,32.22,31.78,13,1.89,1.54,9531,98.88,97.1
Khordha,19460,61.49,61.03,16342,192.85,190.05,1332,580.58,578.05,33,4.97,4.76,37167,839.89,833.89
Koraput,8297,22.09,22.02,3643,40.52,40.05,255,20.89,20.53,11,1.81,1.81,12206,85.3,84.4
Malkangiri,2058,7.5,7.5,1227,13.22,12.99,119,9.58,9.29,2,0.31,0.31,3406,30.61,30.08
Mayurbhanj,11751,40.54,40.44,5756,61.61,61.14,415,32.6,32.2,6,0.83,0.83,17928,135.58,134.6
Nabarangpur,2207,8.24,8.21,2067,23.11,22.84,202,15.99,15.64,1,0.12,0.07,4477,47.46,46.76
Nayagarh,4630,16.31,16.29,4942,52.63,52.29,347,27.4,27.27,10,1.4,1.4,9929,97.74,97.24
Nuapada,2319,8.82,8.8,1678,16.83,16.68,111,9.32,9.27,1,0.19,0.19,4109,35.17,34.94
Puri,9560,33.72,33.7,8750,101.65,100.78,618,51.54,51.23,13,2.15,2.06,18941,189.06,187.78
Rayagada,3859,14.09,14.06,2938,32.95,32.59,164,13.28,13,1,0.12,0.05,6962,60.43,59.69
Sambalpur,7914,30.02,29.93,5230,51.31,50.71,383,30.73,30.16,6,1.04,1.04,13533,113.1,111.84
Subarnapur,3756,13.54,13.5,3603,35.3,35.19,206,16.78,16.57,0,0,0,7565,65.62,65.26
Sundargarh,8606,30.85,30.51,7738,87.29,85.51,476,38.06,36.8,11,1.49,1.37,16831,157.68,154.19
