district,target_to_bank_no_of_prj,mm_involved,forwarded_to_bank_no_of_prj,mm_involved,sanctioned_by_bank_no_of_prj,mm_involved,pct_achievement_no_of_prj,mm_involved,margin_money_claimed_no_of_prj,mm_involved,mm_disbursed_no_of_prj,mm_involved,returned_by_bank_no_of_prj,mm_involved,pending_at_bank_no_of_prj,mm_involved,pending_for_mm_disbursement_no_of_prj,mm_involved
Angul,62,231.07,0,0.00,1,6.65,1.61,2.88,10,41.61,39,121.66,0,0.00,0,0.00,10,41.61
Balangir,72,267.50,0,0.00,0,0.00,0.00,0.00,8,22.92,62,128.96,0,0.00,0,0.00,8,22.92
Balasore,76,283.10,0,0.00,0,0.00,0.00,0.00,22,105.40,59,136.19,0,0.00,0,0.00,21,102.08
Bargarh,63,234.43,0,0.00,0,0.00,0.00,0.00,7,11.77,93,212.22,0,0.00,0,0.00,6,8.62
Bhadrak,63,234.44,0,0.00,0,0.00,0.00,0.00,10,45.19,48,127.57,0,0.00,0,0.00,8,43.24
Boudh,54,200.72,0,0.00,0,0.00,0.00,0.00,10,30.53,12,31.53,0,0.00,0,0.00,10,30.53
Cuttack,74,274.92,0,0.00,6,37.82,8.11,13.76,27,89.96,93,246.08,0,0.00,0,0.00,24,79.77
Deogarh,51,189.88,0,0.00,0,0.00,0.00,0.00,0,0.00,23,65.33,0,0.00,0,0.00,0,0.00
Dhenkanal,68,252.66,0,0.00,0,0.00,0.00,0.00,7,29.93,43,92.42,0,0.00,0,0.00,7,29.93
Gajapati,59,219.27,0,0.00,2,3.22,3.39,1.47,3,19.73,15,40.48,0,0.00,0,0.00,3,19.73
Ganjam,88,328.00,0,0.00,5,31.51,5.68,9.61,28,112.76,110,286.80,0,0.00,0,0.00,25,104.73
Jagatsinghpur,61,227.02,0,0.00,1,7.00,1.64,3.08,12,21.08,31,73.78,0,0.00,0,0.00,11,19.79
Jajpur,71,264.55,0,0.00,1,3.83,1.41,1.45,12,42.19,63,150.42,0,0.00,0,0.00,11,41.64
Jharsuguda,53,197.01,0,0.00,0,0.00,0.00,0.00,5,7.20,16,27.44,0,0.00,0,0.00,5,7.20
Kalahandi,73,271.21,0,0.00,0,0.00,0.00,0.00,17,48.63,32,66.52,0,0.00,0,0.00,15,42.31
Kandhamal,61,226.87,0,0.00,2,11.20,3.28,4.94,3,19.40,14,36.60,0,0.00,0,0.00,3,19.40
Kendrapara,64,237.82,0,0.00,0,0.00,0.00,0.00,13,48.16,60,140.38,0,0.00,0,0.00,12,45.66
Keonjhar,68,252.66,0,0.00,1,1.40,1.47,0.55,7,20.17,37,91.24,0,0.00,0,0.00,5,16.67
Koraput,69,256.48,0,0.00,0,0.00,0.00,0.00,8,54.59,28,45.64,0,0.00,0,0.00,7,54.06
Malkangiri,59,219.38,0,0.00,0,0.00,0.00,0.00,6,11.19,9,13.34,0,0.00,0,0.00,6,11.19
Mayurbhanj,79,294.23,0,0.00,2,3.50,2.53,1.19,15,65.07,82,209.79,0,0.00,0,0.00,14,61.74
Nabarangpur,67,248.95,0,0.00,0,0.00,0.00,0.00,10,23.02,24,59.39,0,0.00,0,0.00,9,15.67
Nayagarh,61,227.07,0,0.00,1,1.40,1.64,0.62,7,11.63,35,97.56,0,0.00,0,0.00,7,11.63
Nuapada,59,219.27,0,0.00,0,0.00,0.00,0.00,10,12.93,19,43.89,0,0.00,0,0.00,9,11.88
Puri,68,253.04,0,0.00,1,7.00,1.47,2.77,14,56.37,55,143.08,0,0.00,0,0.00,13,54.85
Rayagada,63,234.11,0,0.00,0,0.00,0.00,0.00,9,26.31,13,21.83,0,0.00,0,0.00,8,25.96
Sambalpur,59,219.65,2,9.50,0,0.00,0.00,0.00,8,22.21,16,33.23,0,0.00,2,9.50,8,22.21
Subarnapur,56,208.14,0,0.00,1,1.65,1.79,0.79,15,30.10,62,182.38,0,0.00,0,0.00,9,17.99
Sundargarh,69,256.37,0,0.00,1,3.50,1.45,1.37,17,32.22,29,53.81,0,0.00,0,0.00,16,31.26
