district,ancillary_ativities_food_and_agro_processing_t,a,pct,others_t,a,pct,total_ancillary_activities_t,a,pct,total_agri_t,a,pct,"micro,_small_and_medium_enterprises_micro_manufacturing_t",a,pct,micro_services_t,a,pct,small_manufacturing_t,a,pct
Angul,98.11,21.55,21.97,60.86,29.05,47.73,158.97,50.60,31.83,3117.65,569.23,18.26,3125.11,255.29,8.17,198.69,396.61,199.62,515.10,180.37,35.02
Balangir,313.07,102.03,32.59,756.08,46.21,6.11,1069.14,148.24,13.87,5643.95,1387.94,24.59,125.78,168.15,133.68,61.67,286.63,464.79,319.60,103.97,32.53
Balasore,42.85,99.21,231.51,78.71,62.25,79.09,121.56,161.46,132.82,4480.52,948.24,21.16,293.59,489.41,166.70,99.88,615.72,616.49,1474.75,451.56,30.62
Bargarh,94.94,170.39,179.46,19.59,8.15,41.60,114.53,178.53,155.88,6618.36,1096.71,16.57,833.97,181.18,21.73,129.03,258.78,200.56,954.11,167.82,17.59
Bhadrak,41.19,23.63,57.36,102.17,33.56,32.85,143.36,57.19,39.89,3346.31,720.15,21.52,1712.75,138.93,8.11,0.00,252.76,,133.19,41.10,30.86
Boudh,35.91,12.61,35.10,49.51,2.14,4.32,85.43,14.75,17.26,1453.10,190.62,13.12,117.64,22.48,19.11,49.30,39.88,80.90,112.20,15.81,14.09
Cuttack,228.36,104.65,45.83,1361.62,47.48,3.49,1589.98,152.13,9.57,5361.20,1025.79,19.13,1457.33,497.77,34.16,533.04,796.31,149.39,1823.25,781.08,42.84
Deogarh,4.92,1.41,28.62,0.64,0.87,135.90,5.56,2.27,40.92,906.31,124.58,13.75,51.61,12.71,24.63,37.66,25.67,68.17,20.40,5.08,24.89
Dhenkanal,273.67,20.08,7.34,0.00,10.26,,273.67,30.34,11.09,2043.76,403.06,19.72,135.41,108.75,80.31,165.50,135.54,81.89,422.28,54.53,12.91
Gajapati,77.94,70.23,90.10,29.11,1.80,6.18,107.05,72.03,67.28,887.74,255.20,28.75,108.04,53.82,49.82,127.50,70.75,55.49,56.10,24.36,43.42
Ganjam,393.17,184.10,46.82,26.94,70.29,260.86,420.12,254.39,60.55,7149.41,1536.68,21.49,1331.20,491.43,36.92,489.81,687.97,140.46,1647.30,297.67,18.07
Jagatsinghpur,95.67,16.13,16.86,26.99,10.53,39.00,122.66,26.66,21.73,2290.08,509.68,22.26,44.71,121.91,272.67,37.78,206.68,547.03,1561.45,77.79,4.98
Jajpur,38.59,35.78,92.73,61.29,12.16,19.83,99.88,47.94,48.00,4522.43,929.88,20.56,724.17,155.31,21.45,925.33,277.11,29.95,724.17,185.79,25.65
Jharsuguda,95.37,12.20,12.80,136.98,3.44,2.51,232.35,15.65,6.73,1974.21,521.63,26.42,784.13,174.19,22.21,807.29,260.72,32.30,476.00,192.79,40.50
Kalahandi,6.40,67.06,1047.70,254.91,14.03,5.50,261.32,81.09,31.03,3437.40,561.42,16.33,135.86,153.15,112.72,0.00,228.87,,283.05,104.21,36.82
Kandhamal,42.33,3.37,7.95,5.10,1.49,29.17,47.43,4.85,10.23,987.90,126.03,12.76,158.10,39.46,24.96,61.63,56.80,92.18,306.00,18.64,6.09
Kendrapara,58.23,14.09,24.19,25.29,17.08,67.56,83.52,31.17,37.32,3152.26,779.10,24.72,239.34,96.73,40.41,541.45,143.31,26.47,143.65,25.82,17.97
Keonjhar,11.49,17.52,152.41,33.15,47.52,143.34,44.64,65.03,145.67,2356.40,485.18,20.59,4.59,145.64,3172.91,16.57,324.36,1956.93,28.05,130.51,465.28
Khordha,79.46,300.77,378.51,3162.00,316.78,10.02,3241.46,617.55,19.05,8468.65,2554.41,30.16,1943.10,1011.60,52.06,1275.00,1774.37,139.17,2550.00,1506.07,59.06
Koraput,118.30,23.26,19.66,606.68,13.90,2.29,724.98,37.16,5.13,2760.55,347.60,12.59,0.00,166.96,,5.99,228.90,3822.95,174.58,74.21,42.51
Malkangiri,3.19,14.62,458.58,12.54,1.20,9.60,15.73,15.82,100.61,673.22,148.89,22.12,25.30,28.88,114.16,10.29,49.32,479.50,55.25,9.25,16.75
Mayurbhanj,133.57,19.85,14.86,115.09,92.60,80.46,248.66,112.45,45.22,3012.49,689.02,22.87,464.36,129.89,27.97,513.40,353.80,68.91,321.30,89.14,27.75
Nabarangpur,87.13,14.88,17.08,56.95,10.82,19.00,144.07,25.70,17.84,1428.04,261.98,18.35,130.65,55.68,42.62,158.01,89.67,56.75,45.93,29.49,64.21
Nayagarh,20.71,22.52,108.74,150.91,12.12,8.03,171.62,34.64,20.19,2329.96,588.81,25.27,422.13,74.36,17.62,69.79,147.74,211.70,186.41,41.56,22.30
Nuapada,34.85,80.67,231.48,50.79,3.58,7.05,85.64,84.25,98.38,1146.92,342.28,29.84,73.88,90.09,121.93,35.49,109.05,307.28,110.50,39.04,35.33
Puri,131.40,14.78,11.24,161.36,32.35,20.05,292.76,47.12,16.10,4657.75,705.66,15.15,465.72,157.44,33.81,582.08,287.68,49.42,326.00,69.33,21.27
Rayagada,30.32,30.27,99.83,6.04,2.31,38.30,36.36,32.58,89.61,1117.71,383.64,34.32,71.09,90.86,127.80,38.29,133.58,348.83,260.10,41.51,15.96
Sambalpur,25.63,47.28,184.49,19.51,26.93,138.03,45.14,74.21,164.41,3005.35,559.30,18.61,670.48,256.36,38.24,920.55,379.67,41.24,674.90,257.41,38.14
Subarnapur,44.33,7.22,16.30,49.30,2.94,5.95,93.63,10.16,10.85,1802.35,289.98,16.09,120.70,28.54,23.64,99.88,68.46,68.55,97.75,9.76,9.98
Sundargarh,85.43,52.66,61.64,83.00,36.26,43.69,168.43,88.92,52.79,4193.06,702.22,16.75,1857.10,543.08,29.24,723.63,648.85,89.67,2086.55,651.00,31.20
