district,applications_sourced_no,amt_in_lakhs,applications_sanctioned_no,amt_in_lakhs,applications_disbursed_no,amt_in_lakhs,applications_rejected_no,amt_in_lakhs,applications_pending_no,amt_in_lakhs
Angul,317,646.80,140,255.94,112,158.32,132,266.39,45,124.47
Balangir,411,804.67,135,242.45,115,176.31,215,414.67,61,147.55
Balasore,838,1636.33,263,462.27,200,278.65,400,795.27,175,378.79
Bargarh,870,1739.97,370,694.96,288,434.68,404,785.61,96,259.40
Bhadrak,487,967.39,188,337.20,161,249.67,207,408.79,92,221.40
Boudh,315,623.23,66,122.31,52,77.13,212,411.78,37,89.14
Cuttack,1202,2430.18,575,1049.37,476,721.62,456,928.63,171,452.18
Deogarh,104,191.21,26,50.17,21,30.70,67,117.58,11,23.46
Dhenkanal,597,1197.58,195,356.58,139,197.56,327,647.96,75,193.04
Gajapati,99,195.39,31,57.05,25,38.29,47,93.53,21,44.81
Ganjam,982,1884.49,441,784.02,331,461.29,347,658.17,194,442.30
Jharsuguda,339,666.25,184,328.04,159,219.50,101,201.75,54,136.46
Kalahandi,562,1116.32,247,441.74,218,297.62,230,450.86,85,223.72
Kandhamal,245,407.83,26,45.58,15,20.38,192,315.17,27,47.08
Kendrapara,215,412.88,72,132.33,56,81.42,96,185.48,47,95.07
Keonjhar,585,1113.34,200,355.64,165,242.40,283,528.42,102,229.28
Khordha,2020,4130.20,1020,1917.81,869,1323.99,757,1552.84,243,659.55
Koraput,256,488.09,50,91.91,38,48.76,141,257.67,65,138.51
Malkangiri,109,217.49,24,45.28,18,25.91,71,137.86,14,34.35
Mayurbhanj,818,1631.47,316,578.85,252,368.04,346,672.00,156,380.62
Nabarangpur,378,774.09,52,95.64,29,38.67,268,552.53,58,125.92
Nayagarh,668,1149.87,252,411.36,178,227.56,313,517.52,103,220.99
Nuapada,1015,1876.32,284,506.82,221,310.25,669,1192.85,62,176.65
Puri,488,940.74,198,343.74,154,203.23,180,339.03,110,257.97
Rayagada,245,459.59,103,188.53,88,110.56,76,135.79,66,135.27
Sambalpur,429,894.52,255,459.27,197,284.14,116,240.13,58,195.12
Subarnapur,213,426.55,90,167.85,73,100.63,76,150.78,47,107.92
Sundargarh,657,1338.96,324,592.85,286,391.98,196,406.92,137,339.19
