district,pmjjby_fy_2025_26_no_of_pmjjby_claims_setteled_during_current_financial_year_fro,amount_in_rs,cumulative_no_of_pmjjby_claims_setteled_cumulative,amount_in_rs,no_of_rejected_claims,no_of_pending_claims,pmsby_fy_2025_26_no_of_pmsby_claims_setteled_during_current_financial_year_from,amount_in_rs,cumulative_no_of_pmsby_claims_setteled_cumulative,amount_in_rs,no_of_rejected_claims,no_of_pending_claims
Angul,53,10600000,1236,247200000,22,77,10,2000000,210,42000000,35,116
Balangir,57,11400000,1034,206800000,18,11,11,2200000,200,39300000,28,67
Balasore,60,12800000,1139,227800000,32,52,16,3200000,292,55640000,19,30
Bargarh,101,20200000,1273,254600000,24,18,6,1200000,176,35200000,40,114
Bhadrak,36,7200000,465,93000000,16,25,13,2500000,169,32700000,28,87
Boudh,21,4200000,299,59800000,3,1,3,600000,61,12200000,11,32
Cuttack,55,11000000,1626,325200000,80,81,15,3000000,301,59900000,62,172
Deogarh,27,5400000,204,40800000,5,4,6,1200000,77,15400000,10,27
Dhenkanal,56,11200000,1578,315600000,48,68,14,2800000,284,56500000,34,145
Gajapati,15,3000000,268,53600000,8,1,2,400000,57,11300000,6,11
Ganjam,144,28800000,2295,459000000,39,19,12,2400000,317,63200000,66,173
Jagatsinghpur,37,7400000,537,107400000,12,22,14,2800000,147,28400000,26,57
Jajpur,46,9200000,891,178200000,26,31,17,3400000,281,55900000,46,133
Jharsuguda,53,10600000,463,92600000,8,5,5,1000000,104,20600000,13,46
Kalahandi,62,12400000,804,160800000,9,3,11,2200000,142,28400000,21,46
Kandhamal,29,5800000,392,78400000,18,5,7,1400000,113,22500000,18,45
Kendrapara,23,4600000,416,83200000,12,19,9,1800000,128,25000000,24,73
Keonjhar,33,6600000,771,154200000,29,95,26,5200000,268,53400000,46,126
Khordha,82,16400000,1211,242200000,38,52,22,4400000,355,70900000,51,136
Koraput,23,4600000,518,103600000,2,8,7,1400000,107,21400000,11,39
Malkangiri,23,4600000,281,56200000,6,3,5,1000000,54,10800000,4,24
Mayurbhanj,42,8400000,1379,275800000,51,192,18,3600000,204,40800000,39,114
Nabarangpur,26,5200000,539,107800000,12,1,5,1000000,69,13800000,6,22
Nayagarh,25,5000000,835,167000000,21,37,6,1200000,119,23700000,30,69
Nuapada,31,6200000,475,95000000,6,8,4,800000,86,17200000,17,34
Puri,32,6400000,916,183200000,42,46,12,2400000,214,42800000,31,82
Rayagada,43,8600000,699,139800000,11,4,5,1000000,136,27200000,15,37
Sambalpur,53,10600000,920,184000000,19,6,15,3000000,216,42800000,43,107
Subarnapur,21,4200000,447,89400000,8,3,4,800000,86,17200000,12,34
Sundargarh,91,18200000,1406,281200000,30,4,11,2200000,281,55700000,69,173
