district,allied_advance_fishery_t,a,pct,farm_credit_others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Angul,38.58,6.75,17.48,24.54,20.91,85.23,2891.33,508.42,17.58,42.59,6.94,16.30,15.01,2.56,17.04,9.75,0.71,7.23,67.35,10.20,15.15
Balangir,57.92,4.32,7.46,3.36,28.69,854.44,4291.41,1227.70,28.61,250.02,6.61,2.64,14.64,4.95,33.82,18.73,0.45,2.38,283.40,12.00,4.24
Balasore,453.78,19.75,4.35,162.15,50.56,31.18,4274.18,753.81,17.64,48.28,14.48,29.99,24.91,4.29,17.24,11.59,14.20,122.54,84.78,32.97,38.89
Bargarh,68.91,5.24,7.60,4.24,27.80,655.67,6372.64,901.02,14.14,82.07,13.17,16.05,20.61,1.43,6.94,28.51,2.55,8.95,131.19,17.15,13.07
Bhadrak,83.77,11.15,13.31,6.43,12.33,191.75,3075.82,621.47,20.20,72.93,9.76,13.39,21.73,5.24,24.10,32.46,26.49,81.60,127.13,41.49,32.64
Boudh,29.76,0.73,2.44,9.02,3.44,38.14,1301.41,169.41,13.02,45.43,1.81,3.99,11.29,4.56,40.38,9.55,0.09,0.96,66.27,6.46,9.75
Cuttack,85.64,15.66,18.28,126.56,53.15,42.00,3654.93,847.66,23.19,91.44,12.44,13.60,2.85,7.98,279.99,22.01,5.58,25.35,116.29,26.00,22.35
Deogarh,5.48,0.35,6.35,8.95,1.65,18.45,882.71,122.20,13.84,16.62,0.05,0.29,0.42,0.04,10.37,1.01,0.02,1.76,18.05,0.11,0.61
Dhenkanal,8.81,2.49,28.26,29.94,10.78,35.99,1750.43,369.37,21.10,4.76,2.82,59.29,13.27,0.32,2.42,1.63,0.21,12.81,19.66,3.35,17.05
Gajapati,18.70,1.15,6.13,2.94,9.88,336.18,752.73,144.62,19.21,13.71,0.72,5.28,10.24,37.79,368.95,4.01,0.04,1.04,27.95,38.55,137.92
Ganjam,283.36,49.82,17.58,4.85,54.92,1131.51,6379.13,1205.17,18.89,289.81,21.16,7.30,31.10,49.09,157.84,29.26,6.88,23.51,350.17,77.12,22.03
Jagatsinghpur,58.48,5.68,9.72,2.66,25.88,973.49,2051.28,472.79,23.05,63.87,3.75,5.87,43.54,6.44,14.80,8.73,0.05,0.52,116.14,10.24,8.82
Jajpur,107.37,19.73,18.38,12.85,17.31,134.65,4170.36,853.41,20.46,167.88,22.29,13.28,64.24,2.92,4.54,20.08,3.33,16.57,252.19,28.53,11.31
Jharsuguda,15.00,1.19,7.96,1.97,4.54,230.71,1184.16,180.83,15.27,530.27,324.48,61.19,12.01,0.59,4.89,15.42,0.08,0.54,557.70,325.15,58.30
Kalahandi,33.30,2.58,7.76,2.06,12.13,587.50,2905.32,467.15,16.08,156.09,5.80,3.71,27.52,0.65,2.35,87.16,6.74,7.73,270.77,13.18,4.87
Kandhamal,6.55,1.19,18.13,0.86,8.37,968.59,927.70,120.02,12.94,6.46,0.59,9.08,5.27,0.51,9.65,1.03,0.06,6.07,12.76,1.16,9.07
