district,name_of_rseti,name_of_sponsor_bank,target,no_of_candidates_trained,pct_of_candidates_trained,no_of_candidates_settled,pct_of_settlement,bank_finance,pct_of_bank_finance
Angul,Angul,UCO Bank,1050,222,21,226,102,119,53
Balangir,Bolangir,State Bank of India,920,205,22,144,70,84,58
Balasore,Balasore,UCO Bank,1000,207,21,179,86,160,89
Bargarh,Bargarh,State Bank of India,970,259,27,154,59,88,57
Bhadrak,Bhadrak,UCO Bank,1150,363,32,312,86,195,63
Boudh,Boudh,State Bank of India,920,206,22,136,66,97,71
Cuttack,Cuttack,UCO Bank,980,95,10,43,45,0,0
Deogarh,Deogarh,Central Bank of India,1050,62,6,0,0,0,0
Dhenkanal,Dhenkanal,UCO Bank,1000,257,26,181,70,129,71
Gajapati,Gajapati,Union Bank of India,980,105,11,0,0,0,0
Ganjam,Ganjam,Union Bank of India,980,127,13,90,71,46,51
Jagatsinghpur,Jagatsinghpur,UCO Bank,1050,269,26,181,67,114,63
Jajpur,Jajpur,State Bank of India,980,236,24,175,74,112,64
Jharsuguda,Jharsuguda,State Bank of India,1120,192,17,101,53,68,67
Kalahandi,Kalahandi,State Bank of India,970,263,27,134,51,128,96
Kandhamal,Kandhamal,State Bank of India,980,335,34,233,70,156,67
Kendrapara,Kendrapara,State Bank of India,1050,201,19,168,84,133,79
Keonjhar,Keonjhar,Bank of India,1150,300,26,214,71,140,65
Khordha,RUDSETI,Canara Bank,1100,181,16,300,166,241,80
Koraput,Koraput,State Bank of India,860,205,24,156,76,67,43
Malkangiri,Malkangiri,State Bank of India,850,246,29,166,67,82,49
Mayurbhanj,Mayurbhanj,Bank of India,1050,265,25,186,70,118,63
Nabarangpur,Nabrangpur,State Bank of India,970,245,25,175,71,159,91
Nayagarh,Nayagarh,State Bank of India,1000,229,23,175,76,100,57
Nuapada,Nuapada,State Bank of India,890,309,35,225,73,86,38
Puri,Puri,UCO Bank,1120,206,18,218,106,166,76
Rayagada,Rayagada,State Bank of India,1000,244,24,160,66,114,71
Sambalpur,Sambalpur,State Bank of India,990,303,31,122,40,93,76
Subarnapur,Subarnapur,State Bank of India,970,236,24,132,56,97,73
Sundargarh,Sundargarh,State Bank of India,970,225,23,152,68,67,44
