district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Angul,10.20,0.00,0.00,30.60,2.83,9.23,203.00,10.31,5.08,29.50,1.08,3.67,341.80,113.50,33.21,15.81,0.00,0.00,8925.78,2113.29,23.68
Balangir,5.10,0.00,0.00,38.46,2.01,5.22,198.25,12.68,6.39,4.99,0.90,18.03,291.20,51.48,17.68,77.18,0.65,0.85,9349.34,2348.32,25.12
Balasore,1198.50,40.00,3.34,87.55,6.23,7.12,544.85,29.27,5.37,27.72,1.55,5.58,1013.28,190.99,18.85,274.51,0.37,0.14,12647.41,3701.73,29.27
Bargarh,5.10,0.00,0.00,27.10,1.69,6.22,281.94,17.46,6.19,23.11,2.57,11.14,401.91,44.97,11.19,8.70,0.07,0.81,10228.88,2067.82,20.22
Bhadrak,25.50,0.00,0.00,31.19,1.91,6.12,226.76,14.11,6.22,10.18,1.87,18.38,486.00,131.10,26.98,96.82,0.01,0.01,6226.77,1426.21,22.90
Boudh,5.10,0.00,0.00,7.23,0.11,1.52,123.42,3.31,2.68,4.67,0.37,7.99,95.60,13.40,14.02,10.84,0.08,0.77,2142.29,324.98,15.17
Cuttack,61.20,1.19,1.95,109.89,11.53,10.49,1167.85,120.33,10.30,5.75,5.43,94.49,1735.95,143.53,8.27,66.51,24.52,36.87,17154.21,5104.45,29.76
Deogarh,0.00,0.00,,8.08,0.17,2.12,28.73,0.28,0.98,4.62,0.22,4.71,151.08,12.09,8.00,6.84,0.00,0.00,1333.47,194.99,14.62
Dhenkanal,2.55,0.00,0.00,16.83,1.95,11.59,21.08,10.64,50.49,32.60,1.26,3.88,256.00,110.67,43.23,0.68,0.00,0.00,4479.81,970.14,21.66
Gajapati,2.55,0.00,0.00,19.04,1.43,7.53,72.93,3.05,4.18,1.62,0.22,13.32,5.70,9.72,170.75,195.12,0.00,0.00,1727.38,472.58,27.36
Ganjam,2.55,0.18,7.06,112.46,8.71,7.75,718.05,86.55,12.05,70.21,3.30,4.71,1.46,609.33,41726.07,793.48,0.12,0.01,16659.43,4393.06,26.37
Jagatsinghpur,2.55,0.00,0.00,110.48,1.81,1.64,96.73,9.77,10.10,4.79,1.66,34.60,415.36,46.12,11.10,99.92,0.52,0.52,5150.94,1102.82,21.41
Jajpur,2.55,0.38,14.82,39.58,3.36,8.50,153.09,26.71,17.45,3.59,1.83,51.08,443.08,118.97,26.85,24.74,0.12,0.49,9212.21,2051.26,22.27
Jharsuguda,5.10,0.00,0.00,20.06,2.19,10.91,183.43,7.45,4.06,19.00,0.84,4.43,101.50,27.86,27.45,82.87,0.06,0.07,6000.59,1663.12,27.72
Kalahandi,15.30,0.00,0.00,11.39,1.06,9.32,186.07,12.15,6.53,7.57,2.21,29.19,171.50,33.25,19.39,68.85,0.57,0.83,5481.49,1281.89,23.39
Kandhamal,2.55,0.00,0.00,9.89,0.32,3.19,38.35,2.75,7.17,1.31,0.44,33.38,122.40,13.13,10.73,3.40,0.00,0.00,1796.99,301.58,16.78
Kendrapara,7.65,0.00,0.00,11.22,1.79,15.93,48.45,11.50,23.73,6.32,0.59,9.38,823.12,76.71,9.32,59.93,0.00,0.00,5399.35,1206.87,22.35
Keonjhar,2.55,0.00,0.00,13.12,3.01,22.91,107.10,7.34,6.85,2.52,1.70,67.22,571.88,100.15,17.51,35.83,0.06,0.17,6527.46,1684.96,25.81
Khordha,6757.50,421.78,6.24,335.75,72.48,21.59,2116.50,140.45,6.64,26.86,24.12,89.81,2333.10,235.97,10.11,95.88,17.94,18.71,53088.74,12871.14,24.24
Koraput,2.17,0.00,0.00,42.53,1.77,4.15,165.91,9.76,5.88,27.81,0.35,1.27,278.26,38.26,13.75,166.66,0.00,0.00,6000.24,1135.34,18.92
Malkangiri,2.55,0.00,0.00,5.95,0.26,4.43,41.23,1.46,3.55,0.49,0.27,54.58,94.02,18.41,19.59,39.44,0.00,0.01,1136.10,298.78,26.30
Mayurbhanj,28.05,0.00,0.00,59.50,1.92,3.23,274.23,12.14,4.43,4.02,2.33,58.04,944.00,153.85,16.30,23.72,0.11,0.46,6593.24,1643.69,24.93
Nabarangpur,2.55,0.00,0.00,6.38,0.65,10.15,47.94,3.58,7.47,0.24,0.34,141.78,124.90,40.44,32.38,2.64,0.00,0.00,2243.88,524.67,23.38
Nayagarh,0.00,0.00,,4.60,2.11,45.85,420.43,24.94,5.93,0.20,1.99,973.19,717.03,72.61,10.13,6.87,0.08,1.15,4541.43,1001.31,22.05
Nuapada,2.55,0.00,0.00,9.01,0.98,10.83,67.95,3.66,5.38,5.26,1.88,35.84,125.00,23.19,18.55,15.30,0.05,0.31,1852.81,669.58,36.14
Puri,8.22,55.56,675.99,24.24,6.43,26.54,115.80,31.26,27.00,2.81,2.00,71.23,641.76,175.42,27.33,49.68,26.89,54.12,7828.77,1675.90,21.41
Rayagada,0.00,0.00,,22.10,1.13,5.10,97.19,6.71,6.90,12.57,0.80,6.36,187.37,22.12,11.80,20.57,0.00,0.00,3171.71,760.59,23.98
Sambalpur,10.20,0.00,0.00,56.10,6.23,11.10,268.60,14.95,5.57,50.28,2.71,5.40,414.86,45.35,10.93,145.35,0.14,0.10,7887.72,2259.90,28.65
Subarnapur,5.10,0.00,0.00,15.73,0.83,5.28,82.11,4.26,5.18,9.48,0.66,6.92,139.20,28.06,20.16,41.74,0.07,0.17,2890.03,483.04,16.71
Sundargarh,201.45,453.64,225.19,69.27,7.59,10.96,426.09,12.96,3.04,12.14,2.70,22.25,369.06,54.59,14.79,1139.92,0.10,0.01,24417.20,5678.76,23.26
